tmstm,mxCnt,entryCnt,5p,10p,20p,30p,40p,50p,60p,70p,80p,90p
242207,7,77,77,77,77,16,16,6,3,3,1,1
362880,5,47,47,47,47,47,17,17,6,6,3,3
483521,6,48,48,48,48,48,21,10,10,6,6,3
604193,5,42,42,42,42,42,16,16,10,10,3,3
724377,6,112,112,112,112,112,19,8,8,2,2,1
844414,14,341,341,341,58,17,12,5,3,3,1,1
964433,22,352,352,62,16,3,1,1,1,1,1,1
1084607,11,225,225,225,40,12,8,6,3,2,1,1
1204772,26,214,214,28,4,3,2,2,2,1,1,1
1324815,23,283,283,34,10,3,2,1,1,1,1,1
1445003,13,251,251,251,21,9,1,1,1,1,1,1
1565096,9,311,311,311,311,33,10,6,4,4,1,1
1685136,6,194,194,194,194,194,24,12,12,5,5,3
1805143,5,301,301,301,301,301,39,39,13,13,7,7
1925197,8,384,384,384,384,53,27,15,15,8,4,2
2045284,10,510,510,510,84,45,24,14,8,5,5,2
2165462,15,370,370,370,35,21,8,6,2,2,1,1
2285478,16,379,379,379,38,27,15,4,3,3,3,1
2405485,17,373,373,373,39,19,15,7,6,6,3,2
2525628,16,381,381,381,36,28,15,6,5,3,3,2
2645880,11,222,222,222,48,24,17,12,6,2,1,1
2766181,9,144,144,144,144,29,20,12,9,6,3,3
2886915,12,161,161,161,30,17,11,6,3,2,1,1
3007812,9,131,131,131,131,23,16,10,6,4,4,4
3129395,9,88,88,88,88,21,16,11,6,5,3,1
3249607,11,102,102,102,21,13,10,7,2,2,2,2
3370708,11,109,109,109,22,13,8,4,3,3,3,2
3491060,12,96,96,96,20,12,8,2,2,2,1,1
3611835,12,183,183,183,30,12,8,5,5,4,3,1
3731924,10,173,173,173,28,15,10,5,4,2,1,1
3852420,11,159,159,159,23,11,8,6,5,4,4,3
3973440,12,140,140,140,26,12,7,2,2,1,1,1
4093679,14,143,143,143,23,10,7,5,3,2,1,1
4213854,11,156,156,156,26,16,13,7,4,3,3,3
4333936,17,198,198,198,16,8,4,3,2,2,2,1
4454713,13,158,158,158,23,11,5,3,3,2,2,2
4574769,11,281,281,281,46,19,7,6,4,3,2,1
4694771,12,266,266,266,50,19,14,5,3,2,1,1
4814813,7,209,209,209,209,38,38,20,12,12,4,3
4934848,6,108,108,108,108,108,20,12,12,5,5,4
5055227,7,142,142,142,142,24,24,8,2,2,2,1
5175253,11,122,122,122,24,17,11,10,7,3,2,1
5295262,7,71,71,71,71,13,13,8,4,4,2,1
5415301,6,28,28,28,28,28,11,8,8,5,5,2
