tstm,aX,aY,aZ,meanX,meanY,meanZ,stdX,stdY,stdZ,meanDiffX,meanDiffY,meanDiffZ,stdDiffX,stdDiffY,stdDiffZ,HardAccel,HardBrake,LaneChanL,LaneChanR,ui8LaneHole
7113,-709,2033,6561,-621.100,508.371,7911.314,591.365,838.730,613.971,99.286,446.571,-196.997,-71.831,-8.539,219.100,0,0,0,0,0
7213,-1827,2238,7171,-634.243,556.000,7904.386,607.574,840.931,619.525,-131.429,476.286,-69.287,162.091,22.012,55.536,0,0,0,0,0
7313,619,1779,7737,-620.300,594.214,7897.043,624.733,834.838,618.418,139.429,382.143,-73.428,171.589,-60.934,-11.067,0,0,0,0,0
7413,-285,2050,7517,-614.900,633.343,7879.100,625.973,837.959,610.918,54.000,391.285,-179.429,12.400,31.213,-75.000,0,0,0,0,0
7513,847,1751,7205,-586.543,664.514,7856.514,646.266,838.371,606.179,283.572,311.714,-225.859,202.931,4.117,-47.392,0,0,0,0,0
7613,311,1448,7774,-565.571,688.957,7844.271,651.213,835.911,599.025,209.714,244.429,-122.427,49.477,-24.595,-71.537,0,0,0,0,0
7713,-147,1874,7735,-563.057,718.257,7844.900,652.484,840.975,598.887,25.143,293.000,6.284,12.703,50.634,-1.381,0,0,0,0,0
7813,446,1738,7915,-538.686,745.243,7842.557,657.836,842.954,598.287,243.714,269.857,-23.428,53.519,19.791,-6.000,0,0,0,0,0
7913,-27,1478,8137,-530.986,769.457,7849.900,660.619,839.302,598.702,77.000,242.143,73.428,27.839,-36.517,4.144,0,0,0,0,0
8013,-142,1407,7551,-521.029,791.686,7835.643,661.154,835.278,593.746,99.572,222.286,-142.568,5.349,-40.240,-49.553,0,0,0,0,0
8113,-31,1623,8240,-514.914,815.414,7840.357,663.674,834.964,595.625,61.143,237.286,47.139,25.196,-3.139,18.788,0,0,0,0,0
8213,77,1738,8539,-500.986,841.629,7853.929,665.716,834.712,600.546,139.286,262.143,135.718,20.421,-2.519,49.207,0,0,0,0,0
8313,-490,1799,8145,-496.471,870.400,7864.786,664.703,832.503,598.838,45.143,287.714,108.569,-10.131,-22.095,-17.082,0,0,0,0,0
8413,-497,1394,8549,-486.414,900.757,7881.800,659.271,812.047,601.112,100.572,303.571,170.142,-54.321,-204.556,22.745,0,0,0,0,0
8513,701,1520,7791,-457.557,924.071,7880.000,666.367,806.042,601.193,288.571,233.143,-17.998,70.959,-60.059,0.804,0,0,0,0,0
8613,1155,396,8350,-429.771,939.471,7885.900,691.984,785.239,603.744,277.857,154.000,58.999,256.169,-208.028,25.518,0,0,0,0,0
8713,-1314,1169,9195,-436.229,956.700,7916.057,698.069,776.810,615.543,-64.572,172.286,301.572,60.853,-84.285,117.990,0,0,0,0,0
8813,692,1533,8177,-417.800,987.171,7918.971,710.472,756.724,616.289,184.286,304.714,29.141,124.034,-200.861,7.452,0,0,0,0,0
8913,463,1151,8989,-408.071,1005.357,7934.900,717.767,745.056,629.194,97.285,181.857,159.287,72.944,-116.678,129.058,0,0,0,0,0
9013,-548,1214,8442,-402.571,1024.243,7937.128,715.194,733.257,630.708,55.000,188.857,22.285,-25.730,-117.991,15.141,0,0,0,0,0
9113,-698,1510,7903,-404.857,1049.557,7933.543,715.878,718.861,630.178,-22.857,253.143,-35.854,6.846,-143.960,-5.300,0,0,0,0,0
9213,-523,2090,7709,-389.486,1080.571,7947.628,701.480,716.244,613.769,153.714,310.143,140.854,-143.986,-26.176,-164.095,0,0,0,0,0
9313,-1552,1841,6660,-393.257,1112.043,7913.586,706.988,700.390,618.141,-37.714,314.714,-340.425,55.086,-158.533,43.721,0,0,0,0,0
9413,-1000,1838,6297,-395.214,1133.271,7878.372,708.474,699.552,638.678,-19.572,212.286,-352.144,14.858,-8.389,205.365,0,0,0,0,0
9513,-1445,2200,5760,-409.171,1160.371,7838.171,719.311,703.595,680.799,-139.571,271.000,-402.002,108.370,40.435,421.213,0,0,0,0,0
9613,-735,2638,6674,-406.786,1196.757,7815.929,717.948,713.146,692.928,23.857,363.857,-222.427,-13.628,95.507,121.292,0,0,0,0,0
9713,-385,2031,7818,-403.929,1227.614,7815.557,717.631,701.753,692.920,28.571,308.571,-3.716,-3.171,-113.922,-0.082,0,0,0,0,0
9813,-323,2266,7473,-406.100,1261.243,7809.143,717.153,694.265,693.982,-21.714,336.285,-64.141,-4.783,-74.882,10.624,0,0,0,0,0
9913,556,3275,6978,-391.529,1298.857,7792.714,726.135,730.098,699.827,145.714,376.144,-164.287,89.818,358.327,58.445,0,0,0,0,0
10013,3314,1876,8496,-341.914,1310.271,7798.872,848.643,732.781,704.078,496.143,114.143,61.572,1225.078,26.832,42.516,0,0,1,0,0
10113,2881,1166,6729,-284.843,1308.757,7779.614,925.640,732.968,714.564,570.714,-15.143,-192.573,769.973,1.870,104.860,0,0,0,0,0
10213,-1977,2315,7959,-289.629,1327.514,7785.800,933.477,741.627,714.216,-47.857,187.571,61.855,78.373,86.589,-3.481,0,0,0,0,0
10313,457,3246,8707,-258.271,1366.286,7806.443,921.082,769.446,719.640,313.571,387.715,206.431,-123.953,278.187,54.241,0,0,0,0,0
10413,2240,2867,6557,-203.614,1401.743,7796.628,953.616,780.517,731.825,546.571,354.570,-98.145,325.338,110.714,121.849,0,0,0,0,0
10513,-467,2643,7466,-180.329,1431.871,7797.514,926.617,787.117,731.387,232.857,301.287,8.857,-269.989,65.995,-4.384,0,0,0,0,0
10613,-1049,1780,7492,-176.143,1450.086,7795.157,922.010,780.179,732.102,41.857,182.142,-23.569,-46.066,-69.374,7.146,0,0,0,0,0
10713,-1423,2076,6541,-182.600,1467.229,7772.214,929.110,780.560,745.753,-64.572,171.428,-229.429,70.995,3.810,136.517,0,0,0,0,0
10813,-1336,2227,7136,-196.886,1488.871,7755.771,938.994,780.323,746.910,-142.857,216.429,-164.429,98.840,-2.372,11.566,0,0,0,0,0
10913,-68,2537,7164,-185.857,1512.829,7733.571,935.904,786.368,741.052,110.286,239.572,-222.002,-30.896,60.447,-58.582,0,0,0,0,0
11013,455,1724,7782,-169.400,1527.143,7725.557,936.899,780.943,737.442,164.572,143.142,-80.142,9.952,-54.248,-36.096,0,0,0,0,0
11113,1748,1683,7212,-138.786,1535.586,7711.857,963.658,779.386,737.947,306.143,84.429,-137.002,267.584,-15.568,5.053,0,0,0,0,0
11213,-1342,3290,9448,-147.686,1577.200,7732.900,971.818,794.044,765.633,-89.000,416.143,210.430,81.601,146.578,276.858,0,0,0,0,0
11313,783,2899,9306,-132.171,1611.657,7760.814,977.864,798.310,786.571,155.143,344.572,279.146,60.464,42.662,209.382,0,0,0,0,0
11413,1423,1589,8414,-102.386,1632.771,7773.100,992.911,777.618,789.954,297.857,211.144,122.856,150.466,-206.923,33.828,0,0,0,0,0
