tmstm,rssi,type,mac
5531,-92,40,483c0cb28f49
6672,-87,40,8c7967e2d805
7098,-89,88,501cbf48fb82
10527,-92,40,b81daae550f8
11153,-92,40,748d081ff312
14130,-67,80,bc671cf95f82
14174,-68,80,bc671cf95f83
14174,-68,50,bc671cf95f80
14177,-68,88,bc671cf95f82
14184,-67,50,bc671cf95f82
14201,-67,50,bc671cf95f81
14208,-67,80,bc671cf95f80
14208,-67,50,bc671cf95f83
14220,-67,80,bc671cf95f84
14226,-68,88,bc671cf95f82
14226,-67,50,bc671cf95f80
14235,-67,80,bc671cf95f82
14235,-66,50,bc671cf95f82
14243,-67,50,bc671cf95f81
14254,-66,50,bc671cf95f83
14257,-67,80,bc671cf95f81
14264,-67,88,bc671cf95f82
14281,-66,80,bc671cf95f83
14313,-66,80,bc671cf95f80
14326,-66,80,bc671cf95f84
14339,-66,80,bc671cf95f82
14365,-66,80,bc671cf95f81
14369,-67,88,bc671cf95f82
14384,-66,50,bc671cf95f80
14385,-66,50,bc671cf95f82
14386,-66,80,bc671cf95f83
14387,-68,50,bc671cf95f81
14391,-92,40,60e3aca6f2e7
14396,-67,50,bc671cf95f83
14405,-66,50,bc671cf95f80
14418,-67,80,bc671cf95f80
14421,-68,88,bc671cf95f82
14422,-67,50,bc671cf95f82
14429,-67,80,bc671cf95f84
14431,-67,50,bc671cf95f81
14435,-66,50,bc671cf95f83
14438,-66,50,bc671cf95f80
14440,-67,88,bc671cf95f82
14442,-66,80,bc671cf95f82
14442,-66,50,bc671cf95f82
14446,-66,50,bc671cf95f81
14467,-66,80,bc671cf95f81
14491,-66,80,bc671cf95f83
14491,-66,50,bc671cf95f80
14494,-67,88,bc671cf95f82
14498,-66,50,bc671cf95f82
14506,-66,50,bc671cf95f81
14515,-80,88,44783e424574
14518,-66,50,bc671cf95f83
14523,-66,80,bc671cf95f80
14527,-66,50,bc671cf95f80
14528,-67,88,bc671cf95f82
14533,-66,80,bc671cf95f84
14537,-66,50,bc671cf95f82
14548,-65,80,bc671cf95f82
14548,-66,50,bc671cf95f81
14555,-66,50,bc671cf95f83
14557,-66,88,bc671cf95f82
14571,-65,80,bc671cf95f81
14597,-65,80,bc671cf95f83
14610,-80,88,44783e424574
14612,-80,48,44783e424574
14626,-65,80,bc671cf95f80
14629,-66,88,bc671cf95f82
14639,-65,80,bc671cf95f84
14652,-65,80,bc671cf95f82
14674,-65,80,bc671cf95f81
14700,-65,80,bc671cf95f83
14733,-65,80,bc671cf95f80
14734,-66,88,bc671cf95f82
14743,-65,80,bc671cf95f84
14755,-65,80,bc671cf95f82
14779,-65,80,bc671cf95f81
14805,-65,80,bc671cf95f83
14834,-64,80,bc671cf95f80
14838,-66,88,bc671cf95f82
14850,-65,80,bc671cf95f84
14859,-65,80,bc671cf95f82
14879,-66,88,bc671cf95f80
14883,-65,80,bc671cf95f81
14908,-65,80,bc671cf95f83
14909,-66,88,bc671cf95f82
14941,-65,80,bc671cf95f80
14952,-66,80,bc671cf95f84
14965,-65,80,bc671cf95f82
14993,-66,80,bc671cf95f81
15018,-64,80,bc671cf95f83
15020,-65,88,bc671cf95f82
15026,-66,88,bc671cf95f80
15045,-63,80,bc671cf95f80
15063,-80,48,b81daae550f8
15064,-64,80,bc671cf95f82
15088,-74,88,44783e424574
15088,-74,c8,44783e424574
15089,-65,88,bc671cf95f82
15094,-63,80,bc671cf95f81
15117,-64,80,bc671cf95f83
15953,-81,40,d004011784c5
18589,-94,40,f0d7aac4772e
18667,-76,40,8c7967e2d805
19135,-85,88,501cbf48fb82
19432,-94,40,daa11904638c
19622,-86,50,501cbf48fb82
20363,-71,40,b81daae550f8
21219,-90,40,60e3aca6f2e7
22625,-89,40,daa1194e7f33
23783,-72,40,90c7d899b6fd
23824,-89,40,b808d7a08a50
24949,-96,40,4e30d59d2be6
25068,-86,40,8c7967e2d805
25525,-92,40,00870195c921
25596,-78,40,d428d56cb1de
26258,-93,40,8afe37bd3c94
26862,-88,40,60e3aca6f2e7
27034,-64,40,9e9bdf02e20e
27129,-65,88,bc671cf95f82
27131,-63,80,bc671cf95f83
27132,-64,50,bc671cf95f81
27139,-64,50,bc671cf95f83
27153,-63,50,bc671cf95f80
27157,-64,50,bc671cf95f82
27158,-65,88,bc671cf95f82
27161,-64,80,bc671cf95f80
27167,-64,50,bc671cf95f81
27173,-64,80,bc671cf95f84
27173,-64,50,bc671cf95f83
27183,-64,50,bc671cf95f80
27183,-65,88,bc671cf95f82
27186,-64,80,bc671cf95f82
27192,-64,50,bc671cf95f82
27195,-64,50,bc671cf95f81
27195,-64,50,bc671cf95f83
27208,-63,80,bc671cf95f81
27209,-85,88,44783e424574
27215,-65,88,bc671cf95f82
27222,-96,80,9097f3537f10
27233,-64,80,bc671cf95f83
27277,-64,80,bc671cf95f84
27288,-64,80,bc671cf95f82
27318,-64,80,bc671cf95f81
27319,-65,88,bc671cf95f82
27370,-64,80,bc671cf95f80
27393,-85,88,44783e424574
27443,-65,80,bc671cf95f83
27487,-64,80,bc671cf95f84
27488,-64,50,bc671cf95f80
27489,-65,88,bc671cf95f82
27493,-65,50,bc671cf95f82
27497,-64,80,bc671cf95f82
27505,-65,50,bc671cf95f81
27515,-65,50,bc671cf95f83
27522,-65,80,bc671cf95f81
27523,-65,88,bc671cf95f82
27548,-65,80,bc671cf95f83
27567,-65,50,bc671cf95f80
27579,-65,80,bc671cf95f80
27579,-65,50,bc671cf95f82
27586,-65,50,bc671cf95f81
27587,-65,88,bc671cf95f82
27590,-64,80,bc671cf95f84
27596,-65,50,bc671cf95f83
27602,-82,88,44783e424574
27602,-65,80,bc671cf95f82
27628,-64,80,bc671cf95f81
27630,-65,88,bc671cf95f82
27653,-64,80,bc671cf95f83
27682,-64,80,bc671cf95f80
27694,-64,80,bc671cf95f84
27708,-63,80,bc671cf95f82
27734,-63,80,bc671cf95f81
27735,-65,88,bc671cf95f82
27755,-64,80,bc671cf95f83
27787,-65,80,bc671cf95f80
27799,-65,80,bc671cf95f84
27812,-65,80,bc671cf95f82
27916,-83,48,e40eeee7aca8
27917,-66,88,bc671cf95f82
27939,-93,80,9097f3537f10
27941,-65,80,bc671cf95f81
27964,-64,80,bc671cf95f83
28000,-64,80,bc671cf95f80
28008,-64,80,bc671cf95f84
28010,-66,88,bc671cf95f82
28022,-64,80,bc671cf95f82
28043,-92,80,9097f3537f10
28046,-64,80,bc671cf95f81
28060,-86,88,44783e424574
28069,-64,80,bc671cf95f83
28073,-66,88,bc671cf95f82
28100,-64,80,bc671cf95f80
28111,-64,80,bc671cf95f84
28124,-64,80,bc671cf95f82
30058,-88,40,b81daae550f8
30729,-56,40,e4a471e5f2ef
30772,-76,40,8c7967e2d805
31168,-93,40,3880df240979
32142,-86,88,501cbf48fb82
32207,-89,80,d663c6f8a407
32512,-92,50,d663c6f8a407
32626,-86,08,000000000000
32662,-86,80,501cbf48fb80
32679,-89,48,48c7963c5955
32698,-85,88,501cbf48fb82
32719,-92,80,d663c6f8a407
32810,-86,80,501cbf48fb81
32833,-93,50,d663c6f8a407
32836,-85,80,501cbf48fb83
32871,-84,80,501cbf48fb80
32878,-84,88,501cbf48fb82
32878,-83,80,501cbf48fb84
32892,-84,80,501cbf48fb82
32915,-85,80,501cbf48fb81
32923,-92,80,d663c6f8a407
32939,-84,80,501cbf48fb83
32959,-85,88,501cbf48fb82
32970,-85,80,501cbf48fb80
32982,-85,80,501cbf48fb84
32995,-85,80,501cbf48fb82
33019,-85,80,501cbf48fb81
33026,-92,80,d663c6f8a407
33032,-85,88,501cbf48fb82
33075,-86,80,501cbf48fb80
33087,-85,80,501cbf48fb84
33099,-85,80,501cbf48fb82
33123,-85,80,501cbf48fb81
37218,-91,40,8c7967e2d805
38917,-76,40,e0e62e8e030b
40130,-68,88,bc671cf95f82
40138,-67,80,bc671cf95f82
40160,-67,80,bc671cf95f81
40187,-67,80,bc671cf95f83
40216,-67,80,bc671cf95f80
40230,-67,80,bc671cf95f84
40230,-68,88,bc671cf95f82
40240,-66,80,bc671cf95f82
40266,-67,80,bc671cf95f81
40289,-67,80,bc671cf95f83
40322,-67,80,bc671cf95f80
40322,-85,48,b81daae550f8
40323,-68,88,bc671cf95f82
40334,-67,80,bc671cf95f84
40346,-67,80,bc671cf95f82
40348,-91,c8,8058f89e1df2
40367,-71,48,e40eeee7aca8
40369,-66,80,bc671cf95f81
40370,-67,88,bc671cf95f82
40394,-66,80,bc671cf95f83
40425,-66,80,bc671cf95f80
40437,-67,80,bc671cf95f84
40453,-67,80,bc671cf95f82
40495,-83,40,48c7963c5955
40496,-68,88,bc671cf95f82
40496,-67,50,bc671cf95f82
40499,-67,80,bc671cf95f83
40529,-69,80,bc671cf95f80
40543,-69,80,bc671cf95f84
40554,-68,80,bc671cf95f82
40559,-69,88,bc671cf95f82
40579,-67,80,bc671cf95f81
40602,-68,80,bc671cf95f83
40604,-68,50,bc671cf95f80
40615,-68,50,bc671cf95f82
40625,-93,50,9097f3537f10
40629,-69,50,bc671cf95f81
40633,-69,50,bc671cf95f83
40633,-69,80,bc671cf95f80
40635,-70,88,bc671cf95f82
40645,-68,80,bc671cf95f84
40663,-93,50,9097f3537f10
40667,-68,08,000000000000
40685,-68,80,bc671cf95f81
40707,-69,80,bc671cf95f83
40709,-70,88,bc671cf95f82
40742,-68,80,bc671cf95f80
40743,-93,08,9097f3537f10
40752,-69,80,bc671cf95f84
40764,-68,80,bc671cf95f82
40789,-66,80,bc671cf95f81
40801,-67,88,bc671cf95f82
40813,-65,80,bc671cf95f83
40842,-64,80,bc671cf95f80
40847,-83,48,b81daae550f8
40860,-64,80,bc671cf95f84
40860,-64,50,bc671cf95f80
40864,-65,88,bc671cf95f82
40868,-64,80,bc671cf95f82
40871,-64,50,bc671cf95f82
40876,-84,48,b81daae550f8
40882,-64,50,bc671cf95f81
40888,-65,50,bc671cf95f83
40889,-64,88,bc671cf95f82
40893,-64,80,bc671cf95f81
40917,-64,80,bc671cf95f83
40928,-62,40,d46d6dad2d34
40928,-64,50,bc671cf95f80
40934,-64,50,bc671cf95f82
40934,-64,50,bc671cf95f81
40935,-64,50,bc671cf95f83
40938,-66,88,bc671cf95f82
40944,-87,48,b81daae550f8
40948,-63,80,bc671cf95f80
40959,-63,80,bc671cf95f84
40971,-64,80,bc671cf95f82
40996,-64,80,bc671cf95f81
40998,-67,88,bc671cf95f82
41021,-64,80,bc671cf95f83
41056,-64,80,bc671cf95f80
41056,-64,50,bc671cf95f80
41065,-65,80,bc671cf95f84
41065,-64,50,bc671cf95f82
41067,-65,50,bc671cf95f81
41069,-65,88,bc671cf95f82
41075,-64,50,bc671cf95f83
41086,-66,80,bc671cf95f82
41101,-66,80,bc671cf95f81
42738,-85,40,8c7967e2d805
44530,-91,40,9c4fcf4fedc9
45131,-87,88,501cbf48fb82
45325,-87,d0,501cbf48fb82
45368,-86,08,000000000000
45494,-93,50,d663c6f8a407
45518,-92,80,d663c6f8a407
45632,-86,50,501cbf48fb82
45634,-85,50,501cbf48fb81
