tmstm,rssi,type,mac
16173,-92,80,94877c606310
16177,-64,80,18d6c76d350f
16367,-90,80,cc03fa886e02
16553,-65,08,18d6c76d350f
16642,-55,80,5ecf7f4c26a6
16772,-91,80,cc3540a1426f
16890,-91,80,94877c606310
16893,-64,80,18d6c76d350f
17176,-83,80,14abf0130dd0
17472,-83,50,14abf0130dd0
19136,-90,80,d0316941476f
19159,-93,80,885dfba18808
19183,-93,80,e069954e7a69
19322,-93,80,cc03fae5573d
19329,-94,80,c427953aae46
19333,-91,80,c4a366fd5998
19341,-92,80,d0316941476f
19364,-92,80,885dfba18808
19388,-93,80,e069954e7a69
19732,-93,80,cc03fae5573d
19966,-92,08,c427953aae46
20157,-85,f0,24f27f837e00
20200,-93,80,dc028ef63a98
20365,-63,f0,3817c3e8ae00
21208,-90,80,e069951711dc
22196,-91,80,80c6abc53698
22694,-89,40,daa11999dfca
23143,-91,80,94877c63d8f0
23215,-88,80,74a78ee40c1c
24133,-80,80,24f27f837e00
24133,-80,80,24f27f837e01
24133,-80,80,24f27f837e02
24134,-79,80,24f27f837e03
24134,-80,80,24f27f837e04
24134,-79,80,24f27f837e05
24136,-80,80,24f27f837e06
24173,-87,80,6014b3e7da40
24176,-85,08,6014b3e7da40
24204,-93,80,30b5c2972af8
24213,-85,80,58238cc739dd
24226,-82,80,48c79672f4bd
24235,-80,80,24f27f837e00
24236,-80,80,24f27f837e01
24236,-79,80,24f27f837e02
24236,-80,80,24f27f837e03
24236,-80,80,24f27f837e04
24236,-80,80,24f27f837e05
24238,-80,80,24f27f837e06
24277,-83,80,6014b3e7da40
24310,-86,80,3817c3e73b60
24311,-85,80,3817c3e73b61
24311,-86,80,3817c3e73b63
24311,-87,80,3817c3e73b65
24311,-86,80,3817c3e73b66
24315,-80,80,58238cc739dd
24325,-84,80,48c79672f4bd
24338,-80,80,24f27f837e00
24338,-79,80,24f27f837e01
24338,-79,80,24f27f837e02
24350,-88,80,603d26bd585a
24379,-86,80,6014b3e7da40
24413,-87,80,3817c3e73b60
24413,-86,80,3817c3e73b61
24413,-86,80,3817c3e73b65
24414,-85,80,3817c3e73b66
24418,-79,80,58238cc739dd
24427,-82,80,48c79672f4bd
24430,-91,80,9897d16fed60
24431,-89,08,9897d16fed60
24434,-94,48,08c5e13807bb
24452,-90,80,603d26bd585a
24480,-87,80,6014b3e7da40
24515,-84,80,3817c3e73b61
24516,-85,80,3817c3e73b62
24516,-86,80,3817c3e73b63
24516,-86,80,3817c3e73b65
24516,-86,80,3817c3e73b66
24520,-80,80,58238cc739dd
24530,-84,80,48c79672f4bd
24533,-91,80,9897d16fed60
24543,-80,80,24f27f837e04
24544,-79,80,24f27f837e05
24544,-79,80,24f27f837e06
24555,-88,80,603d26bd585a
24582,-86,80,6014b3e7da40
24614,-93,80,30b5c2972af8
24618,-86,80,3817c3e73b60
24618,-85,80,3817c3e73b61
24618,-86,80,3817c3e73b62
24618,-86,80,3817c3e73b63
24618,-87,80,3817c3e73b65
24620,-86,80,3817c3e73b66
24622,-80,80,58238cc739dd
24632,-86,80,48c79672f4bd
24635,-93,80,9897d16fed60
24645,-80,80,24f27f837e00
24645,-80,80,24f27f837e01
24645,-80,80,24f27f837e02
24646,-80,80,24f27f837e03
24646,-79,80,24f27f837e04
24646,-80,80,24f27f837e05
24648,-80,80,24f27f837e06
24685,-87,80,6014b3e7da40
24720,-86,80,3817c3e73b60
24720,-86,80,3817c3e73b61
24720,-85,80,3817c3e73b62
24721,-86,80,3817c3e73b63
24721,-85,80,3817c3e73b66
24735,-84,80,48c79672f4bd
24747,-80,80,24f27f837e00
24748,-80,80,24f27f837e01
24748,-80,80,24f27f837e02
24748,-80,80,24f27f837e03
24748,-80,80,24f27f837e04
24748,-79,80,24f27f837e05
24750,-80,80,24f27f837e06
24789,-87,80,6014b3e7da40
24818,-92,80,30b5c2972af8
24827,-81,80,58238cc739dd
24837,-85,80,48c79672f4bd
24840,-88,80,9897d16fed60
24850,-79,80,24f27f837e01
24850,-80,80,24f27f837e02
24850,-80,80,24f27f837e03
24851,-79,80,24f27f837e04
24851,-79,80,24f27f837e05
24851,-80,80,24f27f837e06
24891,-84,80,6014b3e7da40
24921,-91,80,30b5c2972af8
24929,-85,80,58238cc739dd
24939,-84,80,48c79672f4bd
24944,-86,c8,58d9c3dd03ff
24954,-79,80,24f27f837e00
24954,-80,80,24f27f837e01
24955,-91,80,24f27f837e02
24964,-90,80,603d26bd585a
25023,-91,80,30b5c2972af8
25027,-86,80,3817c3e73b60
25027,-86,80,3817c3e73b61
25028,-86,80,3817c3e73b62
25028,-85,80,3817c3e73b63
25028,-86,80,3817c3e73b65
25032,-79,80,58238cc739dd
25042,-82,80,48c79672f4bd
25055,-87,80,24f27f837e01
25055,-79,80,24f27f837e05
25067,-89,80,603d26bd585a
25094,-85,80,6014b3e7da40
27137,-94,80,b482fea53273
27139,-92,80,cc3540568b91
27141,-93,80,ce3540568b92
27176,-83,80,603d266eae63
27209,-65,80,3817c3e8ae00
27209,-65,80,3817c3e8ae01
27209,-65,80,3817c3e8ae02
27210,-65,80,3817c3e8ae03
27210,-65,80,3817c3e8ae04
27210,-65,80,3817c3e8ae05
27212,-65,80,3817c3e8ae06
27226,-89,80,8c04ff764db5
27231,-92,80,9897d161dd00
27239,-93,80,b482fea53273
27240,-91,80,cc3540568b91
27242,-92,80,ce3540568b92
27257,-89,80,146080cdc7e4
27279,-84,80,603d266eae63
27284,-91,80,7829edf4be5e
27294,-93,80,8e04ffe80300
27311,-65,80,3817c3e8ae00
27312,-65,80,3817c3e8ae01
27312,-65,80,3817c3e8ae02
27312,-65,80,3817c3e8ae03
27312,-65,80,3817c3e8ae04
27312,-65,80,3817c3e8ae05
27314,-65,80,3817c3e8ae06
27329,-93,80,8c04ff764db5
27333,-92,80,9897d161dd00
27341,-89,80,b482fea53273
27343,-93,80,cc3540568b91
27345,-92,80,ce3540568b92
27360,-87,80,146080cdc7e4
27381,-84,80,603d266eae63
27387,-87,80,7829edf4be5e
27414,-65,80,3817c3e8ae00
27414,-65,80,3817c3e8ae01
27414,-65,80,3817c3e8ae02
27414,-65,80,3817c3e8ae03
27415,-65,80,3817c3e8ae04
27415,-65,80,3817c3e8ae05
27417,-65,80,3817c3e8ae06
27436,-93,80,9897d161dd00
27444,-92,80,b482fea53273
27462,-88,80,146080cdc7e4
27478,-93,80,bc3e075dd938
27489,-89,80,7829edf4be5e
27499,-92,80,8e04ffe80300
27501,-87,80,bc8556c32b6e
27516,-65,80,3817c3e8ae00
27516,-65,80,3817c3e8ae01
27517,-65,80,3817c3e8ae02
27517,-65,80,3817c3e8ae03
27517,-65,80,3817c3e8ae04
27517,-65,80,3817c3e8ae05
27519,-65,80,3817c3e8ae06
27534,-93,80,8c04ff764db5
27555,-92,80,ce3540568b92
27586,-83,80,603d266eae63
27593,-86,80,7829edf4be5e
27619,-65,80,3817c3e8ae00
27619,-65,80,3817c3e8ae01
27619,-65,80,3817c3e8ae02
27619,-65,80,3817c3e8ae03
27619,-65,80,3817c3e8ae04
27620,-65,80,3817c3e8ae05
27622,-65,80,3817c3e8ae06
27636,-92,80,8c04ff764db5
27650,-92,80,cc3540568b91
27652,-92,80,ce3540568b92
27666,-87,80,146080cdc7e4
27682,-93,80,bc3e075dd938
27688,-83,80,603d266eae63
27694,-88,80,7829edf4be5e
27697,-96,80,4432c87f4fec
27706,-86,80,bc8556c32b6e
27721,-65,80,3817c3e8ae00
27721,-65,80,3817c3e8ae01
27721,-65,80,3817c3e8ae02
27722,-65,80,3817c3e8ae03
27722,-65,80,3817c3e8ae04
27722,-65,80,3817c3e8ae05
27724,-65,80,3817c3e8ae06
27731,-90,d0,146080cdc7e4
27750,-92,80,cc3540568b91
27760,-87,50,7829edf4be5e
27777,-88,50,8c04ffe8030f
27792,-83,80,603d266eae63
27796,-91,80,7829edf4be5e
27808,-87,80,bc8556c32b6e
27810,-87,88,146080cdc7e4
27821,-87,50,146080cdc7e4
27824,-66,80,3817c3e8ae00
27824,-65,80,3817c3e8ae01
27824,-65,80,3817c3e8ae02
27824,-65,80,3817c3e8ae03
27824,-65,80,3817c3e8ae04
27826,-65,80,3817c3e8ae05
27828,-65,80,3817c3e8ae06
27841,-93,80,8c04ff764db5
27846,-94,80,9897d161dd00
27856,-96,80,ce3540568b92
27858,-88,50,bc8556c32b6e
27862,-93,50,cc3540568b91
27871,-88,80,146080cdc7e4
27887,-91,80,bc3e075dd938
27893,-88,80,603d266eae63
27899,-91,80,7829edf4be5e
27901,-87,50,bc8556c32b6e
27926,-65,80,3817c3e8ae00
27926,-65,80,3817c3e8ae01
27926,-65,80,3817c3e8ae02
27926,-65,80,3817c3e8ae03
27927,-65,80,3817c3e8ae04
27927,-65,80,3817c3e8ae05
27929,-65,80,3817c3e8ae06
27943,-93,80,8c04ff764db5
27958,-92,80,cc3540568b91
27960,-93,80,ce3540568b92
27974,-89,80,146080cdc7e4
27990,-94,80,bc3e075dd938
27995,-84,80,603d266eae63
28001,-91,80,7829edf4be5e
28011,-92,80,8e04ffe80300
28013,-87,80,bc8556c32b6e
28028,-66,80,3817c3e8ae00
28028,-65,80,3817c3e8ae01
28029,-65,80,3817c3e8ae02
28029,-65,80,3817c3e8ae03
28029,-65,80,3817c3e8ae04
28029,-65,80,3817c3e8ae05
28031,-65,80,3817c3e8ae06
28046,-94,80,8c04ff764db5
28050,-93,80,9897d161dd00
28052,-89,40,2016d8fd9715
28061,-92,80,ce3540568b92
28098,-85,80,603d266eae63
28104,-87,80,7829edf4be5e
28114,-93,80,8e04ffe80300
28115,-87,80,bc8556c32b6e
29114,-89,40,2016d8fd9715
29134,-56,80,5ecf7f4c26a6
29168,-93,80,cc03fa886e02
29178,-95,80,94877c606310
29181,-64,80,18d6c76d350f
29265,-93,80,cc3540a1426f
29266,-93,08,cc3540a1426f
29339,-55,80,5ecf7f4c26a6
29372,-94,80,cc03fa886e02
29379,-88,40,2016d8fd9715
29383,-92,80,94877c606310
29386,-64,80,18d6c76d350f
29446,-64,88,5ce0c50a268e
29469,-94,80,cc3540a1426f
29474,-94,80,cc03fa886e02
29544,-55,80,5ecf7f4c26a6
29687,-64,08,18d6c76d350f
29690,-92,80,94877c606310
29693,-64,80,18d6c76d350f
29777,-92,80,cc3540a1426f
29782,-91,80,cc03fa886e02
29851,-55,80,5ecf7f4c26a6
30018,-64,08,18d6c76d350f
30181,-88,80,14abf0130dd0
30481,-87,40,f00fec541488
30488,-88,50,14abf0130dd0
31145,-94,80,0019be0011b8
31529,-92,80,0619be0011b8
32115,-92,40,2e9493e7e9f1
32134,-90,80,c4a366fd5998
32141,-90,80,d0316941476f
32164,-91,80,885dfba18808
32188,-92,80,e069954e7a69
32210,-92,50,e069954e7a69
32335,-94,80,c427953aae46
32340,-91,80,c4a366fd5998
32345,-91,80,d0316941476f
32369,-89,80,885dfba18808
32393,-93,80,e069954e7a69
32476,-94,48,3ca308c2ce4c
32708,-96,80,b4eeb490eb16
32743,-93,80,c427953aae46
32747,-91,80,c4a366fd5998
32755,-90,80,d0316941476f
32802,-91,80,e069954e7a69
32881,-89,80,885dfba18808
32882,-93,d0,c4a366fd5998
32898,-88,88,c4a366fd5998
32954,-93,80,c4a366fd5998
32960,-90,80,d0316941476f
33007,-91,80,e069954e7a69
33044,-93,80,cc03fae5573d
33050,-92,80,c427953aae46
33086,-90,80,885dfba18808
33204,-91,80,dc028ef63a98
33457,-90,40,9a088c82fa1f
33514,-62,f0,3817c3e8ae00
34210,-94,80,e069951711dc
35275,-90,40,74e50bb849e6
35611,-89,80,80c6abc53698
36147,-88,80,94877c63d8f0
36318,-92,80,74a78ee40c1c
36496,-93,48,d0c5f3111b53
37138,-84,80,24f27f837e04
37150,-87,80,603d26bd585a
37179,-87,80,6014b3e7da40
37213,-84,80,3817c3e73b60
37213,-84,80,3817c3e73b61
37213,-84,80,3817c3e73b62
37213,-84,80,3817c3e73b63
37214,-85,80,3817c3e73b65
37214,-84,80,3817c3e73b66
37217,-84,80,58238cc739dd
37227,-85,80,48c79672f4bd
37241,-80,80,24f27f837e05
37241,-79,80,24f27f837e06
37252,-86,80,603d26bd585a
37283,-90,80,6014b3e7da40
37311,-95,80,30b5c2972af8
37315,-84,80,3817c3e73b60
37315,-84,80,3817c3e73b61
37315,-84,80,3817c3e73b62
37316,-84,80,3817c3e73b63
37316,-84,80,3817c3e73b65
37316,-84,80,3817c3e73b66
37330,-84,80,48c79672f4bd
37333,-91,80,9897d16fed60
37343,-80,80,24f27f837e00
37343,-79,80,24f27f837e01
37343,-80,80,24f27f837e02
37343,-80,80,24f27f837e03
37343,-79,80,24f27f837e04
37344,-79,80,24f27f837e05
37346,-80,80,24f27f837e06
37355,-84,80,603d26bd585a
37384,-87,80,6014b3e7da40
37417,-85,80,3817c3e73b60
37418,-84,80,3817c3e73b61
37418,-84,80,3817c3e73b62
37418,-85,80,3817c3e73b63
37418,-84,80,3817c3e73b65
37422,-77,80,58238cc739dd
37432,-84,80,48c79672f4bd
37435,-90,80,9897d16fed60
37445,-79,80,24f27f837e00
37445,-80,80,24f27f837e01
37445,-80,80,24f27f837e02
37446,-80,80,24f27f837e03
37446,-80,80,24f27f837e04
37446,-80,80,24f27f837e05
37448,-80,80,24f27f837e06
37457,-86,80,603d26bd585a
37466,-89,50,9897d16fed60
37524,-83,80,58238cc739dd
37537,-84,80,48c79672f4bd
37550,-80,80,24f27f837e00
37551,-80,80,24f27f837e01
37551,-80,80,24f27f837e02
37551,-80,80,24f27f837e03
37551,-80,80,24f27f837e04
37551,-80,80,24f27f837e05
37553,-79,80,24f27f837e06
37560,-90,80,603d26bd585a
37589,-84,80,6014b3e7da40
37618,-95,80,30b5c2972af8
37623,-84,80,3817c3e73b63
37623,-84,80,3817c3e73b66
37627,-84,80,58238cc739dd
37637,-85,80,48c79672f4bd
37650,-80,80,24f27f837e00
37650,-80,80,24f27f837e01
37650,-80,80,24f27f837e02
37650,-79,80,24f27f837e03
37651,-80,80,24f27f837e04
37651,-79,80,24f27f837e05
37653,-80,80,24f27f837e06
37662,-87,80,603d26bd585a
37691,-84,80,6014b3e7da40
37725,-85,80,3817c3e73b60
37725,-85,80,3817c3e73b61
37725,-84,80,3817c3e73b62
37725,-84,80,3817c3e73b63
37725,-85,80,3817c3e73b65
37726,-84,80,3817c3e73b66
37730,-78,80,58238cc739dd
37739,-82,80,48c79672f4bd
37742,-90,80,9897d16fed60
37753,-84,80,24f27f837e06
37764,-87,80,603d26bd585a
37794,-87,80,6014b3e7da40
37827,-95,80,30b5c2972af8
37827,-83,80,3817c3e73b60
37827,-84,80,3817c3e73b61
37827,-84,80,3817c3e73b62
37828,-85,80,3817c3e73b63
37828,-85,80,3817c3e73b65
37830,-85,80,3817c3e73b66
37832,-78,80,58238cc739dd
37844,-91,80,9897d16fed60
37867,-88,80,603d26bd585a
37896,-86,80,6014b3e7da40
37929,-85,80,3817c3e73b60
37930,-85,80,3817c3e73b61
37930,-84,80,3817c3e73b62
37930,-85,80,3817c3e73b63
37930,-85,80,3817c3e73b65
37930,-85,80,3817c3e73b66
37934,-79,80,58238cc739dd
37944,-84,80,48c79672f4bd
37947,-90,80,9897d16fed60
37957,-80,80,24f27f837e00
37957,-80,80,24f27f837e01
37957,-79,80,24f27f837e02
37958,-80,80,24f27f837e03
37958,-80,80,24f27f837e04
37958,-79,80,24f27f837e05
37960,-79,80,24f27f837e06
37969,-90,80,603d26bd585a
37997,-86,80,6014b3e7da40
38032,-85,80,3817c3e73b60
38032,-85,80,3817c3e73b61
38032,-85,80,3817c3e73b62
38033,-86,80,3817c3e73b63
38033,-84,80,3817c3e73b65
38033,-85,80,3817c3e73b66
38035,-84,08,3817c3e73b60
38037,-84,80,58238cc739dd
38046,-86,80,48c79672f4bd
38049,-90,80,9897d16fed60
38059,-79,80,24f27f837e00
38060,-80,80,24f27f837e01
38060,-80,80,24f27f837e02
38060,-79,80,24f27f837e03
38060,-80,80,24f27f837e04
38060,-80,80,24f27f837e05
38062,-80,80,24f27f837e06
38101,-87,80,6014b3e7da40
40143,-93,80,cc3540568b91
40149,-95,88,7829edf4be5e
40173,-85,88,146080cdc7e4
40197,-91,80,8e04ffe80300
40198,-89,80,bc8556c32b6e
40264,-86,80,146080cdc7e4
40283,-85,80,603d266eae63
40289,-87,80,7829edf4be5e
40292,-90,88,7829edf4be5e
40299,-93,80,8e04ffe80300
40301,-90,80,bc8556c32b6e
40570,-87,80,146080cdc7e4
40597,-63,50,3817c3e8ae03
40605,-93,80,8c04ffe8030f
40612,-86,88,7829edf4be5e
40701,-95,80,7829edf4be5e
40710,-88,80,bc8556c32b6e
40757,-92,80,cc3540568b91
40763,-92,08,7829edf4be5e
40790,-91,80,bc3e075dd938
40793,-84,88,7829edf4be5e
40801,-87,80,7829edf4be5e
40811,-94,80,8e04ffe80300
40813,-88,80,bc8556c32b6e
40813,-86,88,146080cdc7e4
40860,-94,80,cc3540568b91
40866,-87,88,7829edf4be5e
40901,-83,80,603d266eae63
40904,-94,80,7829edf4be5e
40915,-88,80,bc8556c32b6e
41016,-92,80,8e04ffe80300
42139,-56,80,5ecf7f4c26a6
42167,-93,80,cc3540a1426f
42181,-65,08,18d6c76d350f
42186,-65,80,18d6c76d350f
42247,-87,f0,3817c3e73b60
42305,-94,48,f828194492a5
42341,-92,50,94877c606310
42372,-88,80,cc3540a1426f
42446,-55,80,5ecf7f4c26a6
42493,-66,80,18d6c76d350f
42587,-65,08,18d6c76d350f
42785,-92,50,cc03fa886e02
43186,-83,80,14abf0130dd0
43431,-80,40,daa119de240f
43494,-87,08,14abf0130dd0
44201,-93,80,0019be0011b8
44433,-92,80,0619be0011b8
45137,-89,80,c4a366fd5998
45169,-93,80,885dfba18808
45193,-92,80,e069954e7a69
45236,-93,80,c427953aae46
45332,-92,80,cc03fae5573d
45333,-94,08,cc03fae5573d
45350,-94,80,d0316941476f
45445,-85,80,c4a366fd5998
45447,-84,50,d0316941476f
45478,-91,80,885dfba18808
45500,-90,80,e069954e7a69
45645,-96,80,c427953aae46
45657,-92,80,d0316941476f
45741,-92,80,cc03fae5573d
45752,-90,80,c4a366fd5998
45783,-90,80,885dfba18808
45845,-94,08,cc03fae5573d
45910,-91,80,e069954e7a69
45953,-95,80,c427953aae46
45964,-90,80,d0316941476f
46019,-93,50,c427953aae46
46045,-91,50,c4a366fd5998
46091,-91,80,885dfba18808
46114,-92,80,e069954e7a69
46207,-91,50,dc028ef63a98
46210,-94,80,dc028ef63a98
46539,-87,40,e0aa96099d2c
47143,-91,c8,b02a43311603
47217,-92,80,e069951711dc
47243,-93,40,b02a43311603
48086,-47,40,e4a471e5f2ef
48411,-93,80,80c6abc53698
48497,-92,80,14cc2037940b
48633,-90,88,14cc2037940b
48732,-96,80,ce3540acaaf8
48935,-94,80,cc3540acaaf7
49152,-89,80,94877c63d8f0
