tmstm,rssi,type,mac
128131,-85,80,9897d19bbdf8
128158,-86,80,d06f820dca00
128171,-85,80,986b3d79e9b0
128366,-83,08,d06f820dca00
128481,-87,08,986b3d79e9b0
128497,-19,88,e4a471e5f2ef
128541,-83,80,9897d19bbdf8
128568,-85,80,d06f820dca00
128598,-20,c8,e4a471e5f2ef
128671,-77,48,a49b4f1038aa
128683,-90,80,986b3d79e9b0
128744,-20,88,e4a471e5f2ef
128746,-83,80,9897d19bbdf8
128773,-85,80,d06f820dca00
128843,-93,80,fcb4e6c5ee2a
128923,-77,48,a49b4f1038aa
128951,-19,c8,e4a471e5f2ef
128979,-86,08,d06f820dca00
128990,-85,80,986b3d79e9b0
129053,-88,80,9897d19bbdf8
129080,-85,80,d06f820dca00
130872,-91,40,b0890093cfa6
131202,-87,80,10c25a50cbd1
136144,-84,40,18cf5e641db9
136144,-88,50,4c12655cf5bd
136150,-89,80,4c12655cf5bd
136175,-88,80,e067b357bdde
138144,-86,80,bccab5d2c7d0
138759,-84,08,bccab5d2c7d0
138853,-84,88,bccab5d2c7d0
139156,-77,80,58238ce84753
139158,-77,80,5a238ce84754
139368,-73,08,58238ce84753
140139,-70,80,d06f820dca00
140190,-92,80,e894f6e6fc32
141136,-71,80,9897d19bbdf8
141176,-86,80,345760ecae40
141232,-76,80,fcb4e6c5ee2a
141481,-92,08,4432c85e95c4
141504,-22,88,e4a471e5f2ef
141506,-68,88,d06f820dca00
141546,-77,80,9897d19bbdf8
141573,-69,80,d06f820dca00
141573,-72,48,5c0339b443d2
141587,-89,80,345760ecae40
141608,-21,c8,e4a471e5f2ef
141642,-78,80,fcb4e6c5ee2a
141648,-83,80,9897d19bbdf8
141675,-69,80,d06f820dca00
141835,-22,88,e4a471e5f2ef
141893,-93,80,345760ecae40
142005,-22,c8,e4a471e5f2ef
142051,-80,80,fcb4e6c5ee2a
142061,-78,80,9897d19bbdf8
142070,-82,50,fcb4e6c5ee2a
142071,-25,40,e4a471e5f2ef
142084,-70,80,d06f820dca00
142100,-90,80,345760ecae40
142174,-24,c8,e4a471e5f2ef
144140,-92,80,a09d86167618
144163,-91,80,70037e004f5b
144209,-67,80,10c25a50cbd1
144214,-91,80,b0c28721bc6a
144215,-88,80,b2c28721bc6b
144219,-93,80,7c8779019402
144242,-92,80,a09d86167618
144266,-90,80,70037e004f5b
144310,-66,80,10c25a50cbd1
144317,-87,80,b0c28721bc6a
144319,-87,80,b2c28721bc6b
144424,-89,80,7c8779019402
144447,-92,80,a09d86167618
144471,-90,80,70037e004f5b
144515,-67,80,10c25a50cbd1
144521,-87,80,b0c28721bc6a
144523,-87,80,b2c28721bc6b
144526,-92,80,7c8779019402
144549,-91,80,a09d86167618
144573,-91,80,70037e004f5b
144617,-67,80,10c25a50cbd1
144623,-89,80,b0c28721bc6a
144625,-89,80,b2c28721bc6b
144628,-91,80,7c8779019402
144653,-92,80,a09d86167618
144778,-90,80,70037e004f5b
144822,-68,80,10c25a50cbd1
144839,-89,80,b0c28721bc6a
144841,-88,80,b2c28721bc6b
144936,-92,80,7c8779019402
144959,-93,80,a09d86167618
144983,-90,80,70037e004f5b
145027,-68,80,10c25a50cbd1
145033,-88,80,b0c28721bc6a
145035,-89,80,b2c28721bc6b
145038,-90,80,7c8779019402
145062,-91,80,a09d86167618
146204,-91,80,84c9c690baa9
146214,-91,80,78719c4752b0
149180,-84,80,e067b357bdde
151148,-83,80,bccab5d2c7d0
152161,-75,80,58238ce84753
152163,-74,80,5a238ce84754
153194,-89,80,e894f6e6fc32
154135,-79,80,fcb4e6c5ee2a
154141,-67,80,9897d19bbdf8
154168,-68,80,d06f820dca00
154181,-87,80,345760ecae40
155091,-75,48,5c0339b443d2
157144,-93,80,a09d86167618
157212,-71,80,10c25a50cbd1
157219,-88,80,b0c28721bc6a
157224,-93,80,7c8779019402
157225,-88,80,b2c28721bc6b
157538,-92,88,a09d86167618
157554,-92,80,a09d86167618
157622,-70,80,10c25a50cbd1
157628,-88,80,b0c28721bc6a
157764,-93,08,c814519639fd
157836,-89,80,b2c28721bc6b
157940,-96,80,7c8779019402
157964,-93,80,a09d86167618
158021,-91,50,a09d86167618
158031,-69,80,10c25a50cbd1
158039,-89,80,b0c28721bc6a
158041,-86,80,b2c28721bc6b
159208,-91,80,84c9c690baa9
159219,-92,80,78719c4752b0
162185,-86,80,e067b357bdde
164153,-82,80,bccab5d2c7d0
164818,-86,88,bccab5d2c7d0
165164,-74,80,58238ce84753
165166,-74,80,5a238ce84754
166199,-90,80,e894f6e6fc32
167140,-81,80,fcb4e6c5ee2a
167145,-69,80,9897d19bbdf8
167155,-90,50,345760ecae40
167172,-69,80,d06f820dca00
167188,-89,80,345760ecae40
170149,-91,80,a09d86167618
170217,-72,80,10c25a50cbd1
170223,-89,80,b0c28721bc6a
170225,-88,80,b2c28721bc6b
170331,-94,80,7c8779019402
170867,-92,08,a09d86167618
170969,-92,80,a09d86167618
171036,-69,80,10c25a50cbd1
171046,-86,80,b0c28721bc6a
171050,-86,80,b2c28721bc6b
172213,-92,80,84c9c690baa9
172940,-89,80,78719c4752b0
175190,-85,80,e067b357bdde
177158,-82,80,bccab5d2c7d0
177774,-86,08,bccab5d2c7d0
178174,-74,80,58238ce84753
178176,-73,80,5a238ce84754
179204,-90,80,e894f6e6fc32
180144,-79,80,fcb4e6c5ee2a
180150,-69,80,9897d19bbdf8
180177,-64,80,d06f820dca00
180397,-84,80,345760ecae40
183154,-93,80,a09d86167618
183178,-93,80,70037e004f5b
183223,-70,80,10c25a50cbd1
183231,-86,80,b0c28721bc6a
183236,-87,80,b2c28721bc6b
184072,-91,50,70037e004f5b
185330,-92,80,78719c4752b0
185423,-92,80,84c9c690baa9
188194,-86,80,e067b357bdde
190163,-82,80,bccab5d2c7d0
191176,-72,80,58238ce84753
191177,-72,80,5a238ce84754
191362,-70,50,58238ce84753
192209,-90,80,e894f6e6fc32
193149,-82,80,fcb4e6c5ee2a
193155,-70,80,9897d19bbdf8
193182,-69,80,d06f820dca00
193185,-63,88,009acdbcffe3
193197,-87,80,345760ecae40
193553,-69,88,d06f820dca00
193559,-81,80,fcb4e6c5ee2a
193564,-70,80,9897d19bbdf8
193592,-69,80,d06f820dca00
193596,-66,48,009acdbcffe3
193607,-87,80,345760ecae40
193897,-68,50,d06f820dca00
193971,-76,80,fcb4e6c5ee2a
193974,-66,80,9897d19bbdf8
193995,-69,50,9897d19bbdf8
194005,-67,80,d06f820dca00
194011,-82,50,fcb4e6c5ee2a
194041,-68,50,d06f820dca00
194051,-63,40,009acdbcffe3
194104,-63,88,009acdbcffe3
194117,-86,80,345760ecae40
195009,-71,50,9897d19bbdf8
196131,-89,80,b0c28721bc6a
196133,-88,80,b2c28721bc6b
196159,-94,80,a09d86167618
196227,-73,80,10c25a50cbd1
196285,-93,80,70037e004f5b
196323,-93,50,a09d86167618
196335,-87,80,b0c28721bc6a
196337,-88,80,b2c28721bc6b
196363,-94,80,a09d86167618
196431,-74,80,10c25a50cbd1
197081,-91,08,a09d86167618
197105,-92,80,70037e004f5b
198325,-94,80,84c9c690baa9
198642,-92,80,78719c4752b0
201199,-86,80,e067b357bdde
201546,-88,c8,306a854736a0
201638,-93,88,306a854736a0
201642,-83,88,e067b357bdde
203167,-80,80,bccab5d2c7d0
203182,-80,88,bccab5d2c7d0
203233,-25,40,e4a471e5f2ef
204285,-75,80,58238ce84753
204286,-74,80,5a238ce84754
205521,-91,80,e894f6e6fc32
206154,-82,80,fcb4e6c5ee2a
206160,-72,80,9897d19bbdf8
206187,-70,80,d06f820dca00
206200,-85,80,345760ecae40
206204,-68,88,d06f820dca00
206227,-22,88,e4a471e5f2ef
206256,-82,80,fcb4e6c5ee2a
206262,-72,80,9897d19bbdf8
206282,-76,48,009acdbcffe3
206289,-71,80,d06f820dca00
206303,-85,80,345760ecae40
206347,-22,88,e4a471e5f2ef
206359,-81,80,fcb4e6c5ee2a
206364,-72,80,9897d19bbdf8
206417,-68,88,d06f820dca00
206494,-67,80,d06f820dca00
206508,-86,80,345760ecae40
206531,-27,88,e4a471e5f2ef
206564,-83,80,fcb4e6c5ee2a
206569,-71,80,9897d19bbdf8
206570,-80,08,9897d19bbdf8
206596,-67,80,d06f820dca00
206610,-87,80,345760ecae40
206612,-85,50,345760ecae40
206614,-70,50,9897d19bbdf8
206624,-27,88,e4a471e5f2ef
206666,-82,80,fcb4e6c5ee2a
206672,-70,80,9897d19bbdf8
206699,-74,80,d06f820dca00
206700,-75,08,d06f820dca00
206712,-85,80,345760ecae40
206725,-28,88,e4a471e5f2ef
206764,-71,88,d06f820dca00
206768,-82,80,fcb4e6c5ee2a
206774,-71,80,9897d19bbdf8
206801,-73,80,d06f820dca00
206806,-71,48,009acdbcffe3
206816,-87,80,345760ecae40
206834,-28,88,e4a471e5f2ef
206871,-82,80,fcb4e6c5ee2a
206876,-71,80,9897d19bbdf8
206904,-71,80,d06f820dca00
207621,-67,08,d06f820dca00
209143,-87,80,b2c28721bc6b
209163,-94,80,a09d86167618
209233,-78,80,10c25a50cbd1
209238,-88,80,b0c28721bc6a
209290,-91,80,70037e004f5b
211135,-95,80,78719c4752b0
214204,-88,80,e067b357bdde
216274,-80,80,bccab5d2c7d0
216788,-85,08,bccab5d2c7d0
217183,-73,80,58238ce84753
217185,-73,80,5a238ce84754
218219,-89,80,e894f6e6fc32
219146,-92,50,4432c85e95c4
219159,-83,80,fcb4e6c5ee2a
219164,-72,80,9897d19bbdf8
219183,-26,88,e4a471e5f2ef
219192,-67,80,d06f820dca00
219206,-85,80,345760ecae40
219285,-76,48,5c0339b443d2
219307,-82,50,fcb4e6c5ee2a
219363,-83,80,fcb4e6c5ee2a
219369,-74,80,9897d19bbdf8
219396,-69,80,d06f820dca00
219410,-86,80,345760ecae40
219413,-28,c8,e4a471e5f2ef
219544,-28,88,e4a471e5f2ef
219570,-84,80,fcb4e6c5ee2a
219574,-74,80,9897d19bbdf8
219601,-70,80,d06f820dca00
219602,-70,08,d06f820dca00
219614,-72,88,d06f820dca00
219615,-65,48,009acdbcffe3
219645,-28,c8,e4a471e5f2ef
219671,-85,80,fcb4e6c5ee2a
219676,-74,80,9897d19bbdf8
219704,-70,80,d06f820dca00
219704,-80,48,5c0339b443d2
219717,-87,80,345760ecae40
219857,-68,88,009acdbcffe3
219876,-84,80,fcb4e6c5ee2a
219881,-74,80,9897d19bbdf8
