tmstm,rssi,type,mac
132,-60,80,3817c3e8ae00
133,-60,80,3817c3e8ae01
133,-60,80,3817c3e8ae02
133,-60,80,3817c3e8ae03
133,-61,80,3817c3e8ae04
133,-61,80,3817c3e8ae05
134,-61,80,3817c3e8ae06
146,-89,80,146080cdc7e4
235,-62,80,3817c3e8ae01
236,-61,80,3817c3e8ae02
236,-61,80,3817c3e8ae03
236,-61,80,3817c3e8ae04
236,-61,80,3817c3e8ae05
236,-61,80,3817c3e8ae06
296,-93,80,8c04ff764db5
323,-92,80,8c04ffe8030f
324,-90,80,8e04ffe80300
330,-92,80,4632c87f4fed
336,-61,80,3817c3e8ae00
336,-61,80,3817c3e8ae01
336,-62,80,3817c3e8ae02
337,-62,80,3817c3e8ae03
337,-62,80,3817c3e8ae04
337,-62,80,3817c3e8ae05
338,-63,80,3817c3e8ae06
351,-93,80,146080cdc7e4
440,-63,80,3817c3e8ae00
440,-63,80,3817c3e8ae01
441,-62,80,3817c3e8ae02
441,-62,80,3817c3e8ae03
441,-63,80,3817c3e8ae04
441,-63,80,3817c3e8ae05
442,-63,80,3817c3e8ae06
541,-63,80,3817c3e8ae00
541,-64,80,3817c3e8ae01
542,-63,80,3817c3e8ae02
542,-63,80,3817c3e8ae03
542,-64,80,3817c3e8ae04
542,-62,80,3817c3e8ae05
543,-63,80,3817c3e8ae06
558,-90,80,146080cdc7e4
631,-93,80,8c04ffe8030f
643,-63,80,3817c3e8ae00
644,-63,80,3817c3e8ae01
644,-63,80,3817c3e8ae02
644,-63,80,3817c3e8ae03
644,-63,80,3817c3e8ae04
644,-63,80,3817c3e8ae05
645,-63,80,3817c3e8ae06
736,-92,80,8c04ffe8030f
746,-67,80,3817c3e8ae00
746,-68,80,3817c3e8ae01
746,-67,80,3817c3e8ae02
746,-67,80,3817c3e8ae03
746,-68,80,3817c3e8ae04
747,-68,80,3817c3e8ae05
748,-67,80,3817c3e8ae06
763,-90,80,146080cdc7e4
809,-84,80,8c04ff764db5
837,-96,80,8e04ffe80300
840,-90,80,4432c87f4fec
842,-90,80,4632c87f4fed
849,-71,80,3817c3e8ae00
850,-71,80,3817c3e8ae01
850,-71,80,3817c3e8ae02
850,-71,80,3817c3e8ae03
850,-71,80,3817c3e8ae04
851,-71,80,3817c3e8ae05
852,-70,80,3817c3e8ae06
889,-92,80,7829edf4be5e
910,-89,80,8c04ff764db5
944,-90,80,4432c87f4fec
946,-92,80,4632c87f4fed
950,-63,80,3817c3e8ae00
951,-63,80,3817c3e8ae01
951,-63,80,3817c3e8ae02
951,-63,80,3817c3e8ae03
951,-63,80,3817c3e8ae04
951,-63,80,3817c3e8ae05
953,-63,80,3817c3e8ae06
967,-90,80,146080cdc7e4
991,-90,80,7829edf4be5e
1034,-94,80,b482fea53273
1047,-85,80,4432c87f4fec
1049,-89,80,4632c87f4fed
1053,-63,80,3817c3e8ae00
1054,-63,80,3817c3e8ae01
1054,-63,80,3817c3e8ae02
1054,-63,80,3817c3e8ae03
1054,-63,80,3817c3e8ae04
1054,-63,80,3817c3e8ae05
1056,-63,80,3817c3e8ae06
1070,-89,80,146080cdc7e4
1078,-93,80,10c25a070a60
1123,-91,80,603d266eae63
1158,-58,80,3817c3e8ae00
1159,-58,80,3817c3e8ae01
1159,-59,80,3817c3e8ae02
1159,-59,80,3817c3e8ae03
1159,-59,80,3817c3e8ae04
1159,-60,80,3817c3e8ae05
1161,-60,80,3817c3e8ae06
1171,-86,80,146080cdc7e4
1196,-90,80,7829edf4be5e
1261,-58,80,3817c3e8ae00
1261,-59,80,3817c3e8ae01
1261,-59,80,3817c3e8ae02
1261,-59,80,3817c3e8ae03
1262,-59,80,3817c3e8ae04
1262,-57,80,3817c3e8ae05
1263,-57,80,3817c3e8ae06
1363,-60,80,3817c3e8ae00
1363,-60,80,3817c3e8ae01
1364,-60,80,3817c3e8ae02
1364,-60,80,3817c3e8ae03
1364,-60,80,3817c3e8ae04
1364,-60,80,3817c3e8ae05
1366,-61,80,3817c3e8ae06
1377,-86,80,146080cdc7e4
1385,-96,80,10c25a070a60
1401,-92,80,7829edf4be5e
1422,-92,80,8c04ff764db5
1442,-93,80,9897d161dd00
1465,-61,80,3817c3e8ae00
1466,-61,80,3817c3e8ae01
1466,-61,80,3817c3e8ae02
1466,-61,80,3817c3e8ae03
1466,-61,80,3817c3e8ae04
1466,-62,80,3817c3e8ae05
1468,-62,80,3817c3e8ae06
1484,-90,80,cc3540568b91
1540,-92,80,8c09f48060f0
1553,-86,80,8e04ffe80300
1557,-83,80,4432c87f4fec
1558,-82,80,4632c87f4fed
1568,-62,80,3817c3e8ae00
1569,-62,80,3817c3e8ae01
1569,-62,80,3817c3e8ae02
1569,-62,80,3817c3e8ae03
1569,-63,80,3817c3e8ae04
1569,-63,80,3817c3e8ae05
1571,-62,80,3817c3e8ae06
1614,-80,88,7829edf4be5e
1674,-64,80,3817c3e8ae01
1674,-61,80,3817c3e8ae02
1674,-61,80,3817c3e8ae03
1674,-62,80,3817c3e8ae04
1674,-63,80,3817c3e8ae05
1675,-63,80,3817c3e8ae06
1678,-88,88,7829edf4be5e
1708,-90,80,7829edf4be5e
1738,-86,80,bc8556c32b6e
1776,-61,80,3817c3e8ae01
1776,-59,80,3817c3e8ae02
1776,-60,80,3817c3e8ae03
1777,-60,80,3817c3e8ae04
1777,-60,80,3817c3e8ae05
1777,-60,80,3817c3e8ae06
1785,-86,88,7829edf4be5e
1810,-87,80,7829edf4be5e
1853,-94,80,b482fea53273
1878,-67,80,3817c3e8ae01
1879,-67,80,3817c3e8ae02
1879,-68,80,3817c3e8ae03
1879,-68,80,3817c3e8ae04
1879,-68,80,3817c3e8ae05
1879,-69,80,3817c3e8ae06
1892,-90,88,7829edf4be5e
1934,-86,80,8c04ff764db5
1981,-65,80,3817c3e8ae00
1981,-65,80,3817c3e8ae01
1981,-65,80,3817c3e8ae02
1981,-64,80,3817c3e8ae03
1982,-65,80,3817c3e8ae04
1982,-65,80,3817c3e8ae05
1983,-65,80,3817c3e8ae06
1990,-74,80,146080cdc7e4
2010,-94,88,7829edf4be5e
2084,-70,80,3817c3e8ae01
2084,-70,80,3817c3e8ae02
2084,-70,80,3817c3e8ae03
2084,-70,80,3817c3e8ae04
2084,-70,80,3817c3e8ae05
2085,-70,80,3817c3e8ae06
2096,-85,88,7829edf4be5e
3139,-68,80,5ecf7f4c26a6
3147,-90,08,94877c606310
3167,-65,80,18d6c76d350f
3169,-65,08,18d6c76d350f
3248,-89,80,94877c606310
3301,-90,80,cc03fa886e02
3343,-66,80,5ecf7f4c26a6
3529,-88,40,74c14fd64f2d
3538,-91,50,94877c606310
3577,-65,08,18d6c76d350f
3658,-89,80,94877c606310
3679,-64,80,18d6c76d350f
3753,-70,80,5ecf7f4c26a6
4167,-88,80,14abf0130dd0
4383,-89,80,b03956664b98
6143,-93,80,e06995eef467
6201,-87,80,885dfba18808
6211,-85,80,c4a366fd5998
6263,-81,80,e069954e7a69
6285,-85,50,c4a366fd5998
6731,-90,48,947be7ef6e9e
6808,-85,08,c4a366fd5998
6918,-83,80,885dfba18808
7065,-92,80,e06995eef467
7082,-82,80,e069954e7a69
8556,-62,f0,3817c3e8ae00
9180,-84,80,14cc2037940b
9207,-92,80,cc03fa78e54c
9209,-93,80,ce03fa78e54d
9242,-91,40,f678ded34232
9285,-91,80,ce3540acaaf8
9293,-93,50,cc03fa78e54c
9385,-93,80,14cc2037940b
9392,-92,80,10c25a36d488
9412,-91,80,cc03fa78e54c
9414,-90,80,ce03fa78e54d
9478,-87,88,14cc2037940b
9489,-92,80,ce3540acaaf8
9689,-92,80,cc3540acaaf7
9693,-85,80,14cc2037940b
9939,-87,08,14cc2037940b
10027,-93,80,cc03fa78e54c
10028,-94,80,ce03fa78e54d
10197,-93,80,94877c63d8f0
10210,-89,80,74a78ee40c1c
10241,-93,80,e4772371c4d0
10915,-91,08,94877c63d8f0
11147,-89,80,58238caf4d4f
11149,-91,80,5a238caf4d40
11151,-82,80,603d26bd585a
11157,-72,80,021a11fa1d5a
11176,-72,80,58238cc739dd
11191,-93,80,8c09f4895e50
11194,-86,80,9897d16fed60
11194,-89,80,3817c3e73b60
11194,-88,80,3817c3e73b61
11194,-87,80,3817c3e73b63
11195,-88,80,3817c3e73b65
11196,-88,80,3817c3e73b66
11199,-94,80,8c04ffb38699
11205,-79,80,24f27f837e00
11205,-80,80,24f27f837e01
11206,-80,80,24f27f837e02
11208,-80,80,24f27f837e03
11210,-79,80,24f27f837e04
11213,-79,80,24f27f837e05
11215,-79,80,24f27f837e06
11232,-87,80,6014b3e7da40
11259,-73,80,021a11fa1d5a
11279,-68,80,58238cc739dd
11293,-93,80,8c09f4895e50
11296,-86,80,9897d16fed60
11296,-88,80,3817c3e73b60
11297,-86,80,3817c3e73b61
11297,-88,80,3817c3e73b63
11297,-89,80,3817c3e73b66
11307,-80,80,24f27f837e00
11308,-80,80,24f27f837e01
11308,-79,80,24f27f837e02
11308,-79,80,24f27f837e03
11308,-80,80,24f27f837e04
11310,-79,80,24f27f837e05
11313,-80,80,24f27f837e06
11362,-72,80,021a11fa1d5a
11381,-69,80,58238cc739dd
11398,-88,80,3817c3e73b60
11399,-87,80,3817c3e73b63
11399,-87,80,3817c3e73b65
11410,-79,80,24f27f837e00
11410,-80,80,24f27f837e01
11410,-79,80,24f27f837e02
11410,-80,80,24f27f837e03
11411,-79,80,24f27f837e04
11411,-80,80,24f27f837e05
11413,-80,80,24f27f837e06
11415,-80,08,24f27f837e00
11441,-85,80,6014b3e7da40
11464,-72,80,021a11fa1d5a
11474,-93,80,28be9b5d3ea6
11483,-72,80,58238cc739dd
11512,-79,80,24f27f837e00
