tstm,aX,aY,aZ,meanX,meanY,meanZ,stdX,stdY,stdZ,meanDiffX,meanDiffY,meanDiffZ,stdDiffX,stdDiffY,stdDiffZ,HardAccel,HardBrake,LaneChanL,LaneChanR,ui8LaneHole,Q
493214,964,-911,10622,-72.886,-482.814,8037.771,945.631,489.590,941.786,156.429,-170.714,378.286,82.610,-55.744,528.627,0,0,0,0,0,5.000
493314,-210,72,5520,-52.843,-480.814,8007.700,927.470,491.563,987.006,200.429,20.000,-300.713,-181.615,19.724,452.207,0,0,0,0,0,5.000
493414,-2768,-258,7669,-106.700,-472.300,8001.986,972.995,490.185,987.793,-538.571,85.143,-57.144,455.254,-13.780,7.862,0,0,0,0,0,5.000
493514,-281,-306,6884,-122.714,-478.514,8002.543,966.485,485.255,987.151,-160.143,-62.143,5.571,-65.101,-49.297,-6.420,0,0,0,0,0,5.000
493614,208,-647,8343,-121.900,-484.557,8032.643,966.740,484.681,964.694,8.143,-60.428,301.001,2.544,-5.736,-224.562,0,0,0,0,0,5.000
493714,-1606,-425,10241,-147.543,-491.900,8059.343,981.841,479.806,998.973,-256.429,-73.429,266.997,151.015,-48.759,342.782,0,0,0,0,0,5.000
493814,-610,214,5985,-146.329,-482.914,8024.014,981.216,486.998,1027.569,12.143,89.857,-353.286,-6.253,71.920,285.962,0,0,0,0,0,5.000
493914,-402,-402,9246,-162.600,-488.971,8033.529,975.862,483.303,1035.724,-162.714,-60.572,95.146,-53.539,-36.949,81.548,0,0,0,0,0,5.000
494014,-1640,-862,8240,-185.629,-494.757,8050.100,991.312,485.305,1029.597,-230.286,-57.857,165.713,154.498,20.026,-61.271,0,0,0,0,0,5.000
494114,-1269,-280,6179,-211.000,-491.857,8037.286,995.976,485.973,1047.074,-253.714,29.000,-128.145,46.644,6.677,174.777,0,0,0,0,0,5.000
494214,2065,-28,8069,-181.600,-487.714,8058.929,1031.711,488.666,1031.736,294.000,41.429,216.431,357.352,26.931,-153.381,0,0,0,0,0,5.000
494314,-52,-290,7453,-180.543,-486.629,8050.914,1031.805,489.020,1034.230,10.571,10.857,-80.146,0.941,3.535,24.938,0,0,0,0,0,5.000
494414,-788,-477,7836,-189.557,-498.957,8044.343,1034.314,477.610,1034.113,-90.143,-123.286,-65.713,25.084,-114.097,-1.166,0,0,0,0,0,5.000
494514,-622,-368,7965,-202.143,-503.786,8048.971,1034.139,474.543,1033.022,-125.857,-48.286,46.284,-1.746,-30.668,-10.913,0,0,0,0,0,5.000
494614,-789,-533,8999,-237.214,-512.514,8059.743,1011.572,469.353,1038.924,-350.714,-87.286,107.715,-225.675,-51.905,59.022,0,0,0,0,0,5.000
494714,-726,-570,7949,-193.914,-513.929,8035.786,920.778,469.375,1021.724,433.000,-14.143,-239.570,-907.941,0.220,-172.006,0,0,0,0,0,5.000
494814,-150,-365,7437,-198.614,-509.971,8053.900,919.701,469.446,999.464,-47.000,39.572,181.143,-10.765,0.712,-222.593,0,0,0,0,0,5.000
494914,-333,-651,8658,-255.600,-509.114,8068.714,794.105,469.133,1000.623,-569.857,8.571,148.145,-1255.960,-3.131,11.582,0,0,0,0,0,5.000
495014,403,-674,8574,-272.614,-519.486,8090.514,766.576,464.616,994.753,-170.143,-103.714,217.998,-275.294,-45.162,-58.694,0,0,0,0,0,5.000
495114,-700,-913,7593,-280.700,-527.786,8080.529,768.055,466.379,996.188,-80.857,-83.000,-99.854,14.788,17.628,14.348,0,0,0,0,0,5.000
495214,-823,-884,8503,-299.671,-539.671,8085.471,764.807,464.701,997.413,-189.714,-118.857,49.424,-32.472,-16.781,12.248,0,0,0,0,0,5.000
495314,-1099,-1176,7955,-322.414,-549.657,8061.614,764.568,470.718,980.126,-227.429,-99.857,-238.569,-2.391,60.172,-172.867,0,0,0,0,0,5.000
495414,-1697,-931,7184,-352.329,-557.614,8042.214,776.704,472.387,983.858,-299.143,-79.571,-193.999,121.354,16.683,37.321,0,0,0,0,0,5.000
495514,374,-903,9511,-357.829,-570.143,8070.557,770.150,469.743,997.096,-55.000,-125.286,283.428,-65.535,-26.431,132.379,0,0,0,0,0,5.000
495614,-6,-1167,9031,-352.057,-577.029,8085.914,771.251,474.881,1003.471,57.715,-68.857,153.569,11.005,51.377,63.755,0,0,0,0,0,5.000
495714,-548,-1394,7242,-358.900,-595.686,8071.757,770.834,480.918,1008.275,-68.429,-186.572,-141.567,-4.169,60.373,48.040,0,0,0,0,0,5.000
495814,-898,-750,8389,-363.229,-605.343,8070.886,772.995,477.118,1007.975,-43.286,-96.571,-8.716,21.613,-38.005,-3.008,0,0,0,0,0,5.000
495914,-240,-1173,8779,-357.357,-622.771,8083.886,772.347,475.249,1011.150,58.714,-174.286,130.000,-6.475,-18.688,31.756,0,0,0,0,0,5.000
496014,9,-1750,7886,-357.971,-641.514,8083.872,772.039,493.128,1011.153,-6.143,-187.429,-0.142,-3.088,178.784,0.028,0,0,0,0,0,5.000
496114,-380,-1483,6925,-362.757,-658.029,8055.372,771.121,501.602,1015.291,-47.857,-165.143,-285.000,-9.172,84.745,41.382,0,0,0,0,0,5.000
496214,-509,-1861,6951,-369.929,-679.357,8043.471,770.113,520.213,1023.253,-71.714,-213.286,-119.004,-10.082,186.108,79.614,0,0,0,0,0,5.000
496314,-1114,-1437,7712,-400.829,-697.971,8038.114,755.822,523.667,1023.992,-309.000,-186.143,-53.569,-142.916,34.536,7.394,0,0,0,0,0,5.000
496414,-805,-1088,8072,-418.543,-706.229,8046.372,750.537,525.192,1021.900,-177.143,-82.571,82.573,-52.844,15.256,-20.927,0,0,0,0,0,5.000
496514,-235,-1814,9227,-410.900,-728.329,8081.257,749.643,538.622,1019.924,76.429,-221.000,348.857,-8.943,134.294,-19.755,0,0,0,0,0,5.000
496614,79,-1077,6032,-414.871,-738.686,8040.771,746.293,538.256,1043.935,-39.714,-103.572,-404.858,-33.499,-3.656,240.111,0,0,0,0,0,5.000
496714,-177,-1042,7109,-414.929,-752.471,8029.571,746.275,533.469,1049.650,-0.571,-137.857,-112.002,-0.183,-47.871,57.152,0,0,0,0,0,5.000
496814,-486,-1689,7358,-420.300,-770.500,8025.414,745.413,543.397,1051.724,-53.714,-180.286,-41.572,-8.615,99.282,20.732,0,0,0,0,0,5.000
496914,-117,-1959,8885,-419.600,-791.071,8012.486,745.675,560.476,1035.388,7.000,-205.714,-129.282,2.615,170.785,-163.353,0,0,0,0,0,5.000
497014,-373,-1635,7255,-412.571,-813.400,7997.786,743.760,562.514,1038.728,70.286,-223.286,-147.002,-19.151,20.386,33.401,0,0,0,0,0,5.000
497114,135,-1560,8330,-406.343,-832.586,8016.700,746.489,564.744,1032.532,62.286,-191.857,189.146,27.289,22.297,-61.959,0,0,0,0,0,5.000
497214,39,-1627,7868,-402.471,-852.129,7999.529,748.084,568.216,1024.839,38.714,-195.429,-171.714,15.950,34.722,-76.934,0,0,0,0,0,5.000
497314,-356,-979,7245,-421.143,-866.986,7990.000,730.166,557.644,1028.702,-186.714,-148.571,-95.288,-179.180,-105.717,38.628,0,0,0,0,0,5.000
497414,-569,-852,7830,-411.329,-854.100,7959.286,723.464,547.325,1000.539,98.143,128.857,-307.144,-67.012,-103.196,-281.634,0,0,0,0,0,5.000
497514,-474,-513,8304,-421.043,-860.200,7967.329,719.665,541.074,1001.014,-97.143,-61.000,80.430,-37.990,-62.507,4.757,0,0,0,0,0,5.000
497614,-211,-230,8081,-432.029,-857.100,7966.057,710.447,544.046,1000.812,-109.857,31.000,-12.715,-92.187,29.719,-2.017,0,0,0,0,0,5.000
497714,60,-128,8079,-428.543,-855.514,7967.628,712.251,546.003,1000.902,34.857,15.857,15.713,18.046,19.575,0.899,0,0,0,0,0,5.000
497814,-661,-653,7890,-440.629,-847.857,7965.429,708.908,545.031,1000.901,-120.857,76.572,-21.997,-33.436,-9.728,-0.010,0,0,0,0,0,5.000
497914,-578,-582,7276,-446.971,-822.529,7932.372,708.122,514.759,984.783,-63.429,253.286,-330.571,-7.859,-302.716,-161.185,0,0,0,0,0,5.000
498014,-438,-463,8010,-442.643,-817.743,7927.214,707.237,516.519,983.417,43.286,47.857,-51.572,-8.850,17.599,-13.660,0,0,0,0,0,5.000
498114,65,-254,9044,-445.757,-828.157,7944.729,704.509,497.342,992.194,-31.143,-104.143,175.142,-27.276,-191.766,87.772,0,0,0,0,0,5.000
498214,-310,-350,7623,-442.014,-812.057,7927.157,704.525,494.310,986.830,37.429,161.000,-175.713,0.154,-30.326,-53.639,0,0,0,0,0,5.000
498314,-284,-162,7386,-432.814,-810.100,7914.443,702.320,496.603,987.986,92.000,19.572,-127.144,-22.050,22.934,11.562,0,0,0,0,0,5.000
498414,-404,-514,8536,-439.700,-807.329,7906.429,699.636,497.705,980.609,-68.857,27.714,-80.142,-26.841,11.021,-73.773,0,0,0,0,0,5.000
498514,-414,-408,7401,-415.786,-796.586,7904.700,670.906,498.093,981.391,239.143,107.429,-17.285,-287.298,3.875,7.824,0,0,0,0,0,5.000
498614,7,-284,7779,-409.357,-793.500,7921.971,672.768,500.583,968.302,64.286,30.857,172.710,18.618,24.905,-130.898,0,0,0,0,0,5.000
498714,-434,-621,7970,-427.214,-796.471,7937.771,656.396,498.931,959.896,-178.571,-29.714,158.003,-163.713,-16.527,-84.052,0,0,0,0,0,5.000
498814,-410,-394,7835,-436.329,-797.314,7958.829,651.647,498.200,941.059,-91.143,-8.428,210.571,-47.490,-7.310,-188.378,0,0,0,0,0,5.000
498914,-570,-696,8303,-437.743,-795.386,7979.086,651.828,498.327,932.952,-14.143,19.285,202.573,1.812,1.272,-81.062,0,0,0,0,0,5.000
499014,-503,-901,8249,-436.200,-798.271,7996.571,651.544,498.345,926.354,15.428,-28.857,174.854,-2.841,0.184,-65.987,0,0,0,0,0,5.000
499114,-397,-1127,8173,-434.500,-796.414,7981.386,651.489,496.872,914.549,17.000,18.571,-151.855,-0.554,-14.729,-118.047,0,0,0,0,0,5.000
499214,-78,-957,8329,-423.386,-804.586,8006.243,650.840,494.738,899.896,111.143,-81.714,248.569,-6.494,-21.344,-146.534,0,0,0,0,0,5.000
499314,-275,-1237,7841,-419.586,-805.314,7994.471,650.918,495.336,896.585,38.000,-7.286,-117.715,0.789,5.984,-33.110,0,0,0,0,0,5.000
499414,-338,-1066,7863,-427.271,-811.771,7991.757,646.720,495.746,896.691,-76.857,-64.572,-27.139,-41.985,4.099,1.063,0,0,0,0,0,5.000
499514,-141,-1450,8412,-402.114,-813.471,8004.357,622.668,497.724,896.310,251.571,-17.000,125.996,-240.519,19.777,-3.804,0,0,0,0,0,5.000
499614,-699,-1798,7720,-416.757,-822.500,7993.286,617.403,509.626,894.967,-146.429,-90.286,-110.713,-52.647,119.026,-13.433,0,0,0,0,0,5.000
499714,-354,-1877,7411,-419.086,-837.614,7982.271,616.854,524.763,897.318,-23.286,-151.143,-110.142,-5.488,151.363,23.510,0,0,0,0,0,5.000
499814,-368,-1776,8403,-404.257,-847.100,7976.457,605.320,535.528,893.245,148.286,-94.857,-58.145,-115.344,107.651,-40.731,0,0,0,0,0,5.000
499914,-507,-1779,7742,-403.986,-865.400,7952.429,605.270,545.087,876.448,2.714,-183.000,-240.283,-0.504,95.596,-167.972,0,0,0,0,0,5.000
500014,-223,-1638,8653,-399.329,-877.443,7945.300,605.390,552.659,868.657,46.571,-120.428,-71.289,1.207,75.715,-77.909,0,0,0,0,0,5.000
500114,-656,-1792,8000,-409.957,-893.643,7957.914,603.269,562.521,862.930,-106.286,-162.000,126.143,-21.218,98.624,-57.274,0,0,0,0,0,5.000
500214,-739,-1754,7876,-434.286,-905.686,7918.686,581.309,571.713,801.133,-243.286,-120.428,-392.285,-219.600,91.913,-617.969,0,0,0,0,0,5.000
500314,-517,-1385,8090,-438.671,-926.500,7955.400,580.758,562.182,747.455,-43.857,-208.143,367.144,-5.510,-95.306,-536.776,0,0,0,0,0,5.000
500414,-756,-2107,7840,-409.929,-952.914,7957.843,510.275,573.476,746.794,287.429,-264.143,24.429,-704.823,112.944,-6.608,0,0,0,0,0,5.000
500514,-590,-1994,8286,-414.343,-977.029,7977.872,510.477,581.205,736.455,-44.143,-241.143,200.288,2.021,77.283,-103.395,0,0,0,0,0,5.000
