tstm,aX,aY,aZ,meanX,meanY,meanZ,stdX,stdY,stdZ,meanDiffX,meanDiffY,meanDiffZ,stdDiffX,stdDiffY,stdDiffZ
11813,-560,374,7140,-501.514,-58.786,7979.514,558.124,729.514,802.509,-47.143,-93.857,-156.860,-8.792,-96.699,58.528
11913,-897,-429,8002,-509.129,-85.057,7997.357,559.829,708.971,788.809,-76.143,-262.714,178.428,17.052,-205.433,-137.003
12013,-50,-164,8212,-507.286,-105.957,7996.986,561.124,689.149,788.702,18.429,-209.000,-3.711,12.945,-198.221,-1.072
12113,440,-146,9139,-492.986,-126.829,8015.486,572.218,667.584,800.003,143.000,-208.714,185.000,110.943,-215.645,113.015
12213,-1191,285,7274,-514.986,-147.200,7996.414,569.019,632.001,801.538,-220.000,-203.714,-190.718,-31.995,-355.834,15.350
12313,-115,-345,8235,-499.371,-169.557,7999.614,564.768,610.558,802.037,156.143,-223.571,32.002,-42.507,-214.431,4.987
12413,-1042,422,9152,-506.014,-184.257,8006.786,568.365,583.135,810.025,-66.429,-147.000,71.714,35.973,-274.226,79.879
12513,-1263,-162,9434,-524.971,-206.814,8034.714,571.160,550.378,824.912,-189.572,-225.571,279.287,27.952,-327.571,148.873
12613,34,205,8320,-520.243,-223.557,8036.128,574.389,518.867,825.315,47.286,-167.429,14.141,32.287,-315.109,4.030
12713,-1594,1049,8750,-527.686,-215.686,8054.128,584.785,533.721,826.946,-74.429,78.714,180.000,103.958,148.535,16.313
12813,-715,30,6296,-542.557,-223.843,8030.071,576.058,525.476,852.843,-148.714,-81.571,-240.571,-87.273,-82.444,258.961
12913,-114,-279,8259,-532.543,-229.043,8028.500,577.326,524.194,852.318,100.143,-52.000,-15.713,12.686,-12.824,-5.244
13013,-173,312,8216,-514.943,-229.157,8021.586,569.182,524.075,848.798,176.000,-1.143,-69.141,-81.439,-1.189,-35.199
13113,-277,411,8152,-527.886,-196.571,8022.500,553.096,490.902,848.904,-129.429,325.857,9.141,-160.862,-331.731,1.057
13213,-924,553,7946,-538.143,-188.486,8011.514,553.689,498.462,844.837,-102.571,80.857,-109.858,5.930,75.602,-40.669
