tmstm,rssi,type,mac
48231,-75,80,58238ce84753
48233,-73,80,5a238ce84754
50171,-77,80,d06f820dca00
50176,-70,c8,dc90884a7739
50217,-72,88,d06f820dca00
50233,-85,80,b0c28721bc6a
50235,-87,80,b2c28721bc6b
50237,-70,80,9897d19bbdf8
50265,-79,80,345760ecae40
50273,-80,80,d06f820dca00
50364,-94,80,4432c85e95c4
50365,-89,88,345760ecae40
50370,-91,48,1801f13b9f03
50379,-69,c8,60f81dcfd4b4
50379,-70,c8,dc90884a7739
50438,-86,80,b0c28721bc6a
50440,-69,80,9897d19bbdf8
50478,-80,80,d06f820dca00
50542,-87,80,b2c28721bc6b
50667,-70,88,d06f820dca00
50672,-94,80,4432c85e95c4
50745,-87,80,b0c28721bc6a
50747,-69,80,9897d19bbdf8
50785,-77,80,d06f820dca00
50795,-70,c8,60f81dcfd4b4
50797,-70,88,d06f820dca00
50876,-93,80,4432c85e95c4
50950,-88,80,b0c28721bc6a
50952,-70,80,9897d19bbdf8
50994,-79,08,d06f820dca00
51160,-87,80,b2c28721bc6b
53173,-90,80,a09d86167618
53258,-63,80,10c25a50cbd1
53304,-94,80,7c8779019402
53729,-94,80,5a238c3436c6
54096,-94,08,a09d86167618
54526,-90,80,e894f6e6fc32
55197,-94,80,001dcf1c399b
55220,-91,80,e067b32dc3b6
55231,-96,80,78719c4752b0
55243,-90,80,84c9c690baa9
55461,-91,50,78719c4752b0
55788,-89,50,84c9c690baa9
55908,-95,88,001dcf1c399b
55937,-92,80,e067b32dc3b6
55948,-93,80,78719c4752b0
55960,-90,80,84c9c690baa9
56017,-94,80,001dcf1c399b
58251,-78,80,d0bf9c5495bb
58331,-81,80,fcb4e6c5ee2a
58351,-90,80,e067b357bdde
58877,-85,50,fcb4e6c5ee2a
59457,-87,40,d0bf9c5495bb
60229,-78,80,bccab5d2c7d0
60318,-83,08,bccab5d2c7d0
61231,-75,80,58238ce84753
61233,-76,80,5a238ce84754
63176,-78,80,d06f820dca00
63184,-73,88,dc90884a7739
63279,-70,48,5c0339b443d2
63340,-88,80,b0c28721bc6a
63342,-87,80,b2c28721bc6b
63344,-69,80,9897d19bbdf8
63369,-94,80,4432c85e95c4
63373,-73,88,dc90884a7739
63381,-77,80,d06f820dca00
63442,-87,80,b0c28721bc6a
63446,-89,80,b2c28721bc6b
63549,-69,80,9897d19bbdf8
63555,-95,08,4432c85e95c4
63565,-94,88,4432c85e95c4
63574,-93,80,4432c85e95c4
63578,-71,c8,dc90884a7739
63585,-79,80,d06f820dca00
63648,-87,80,b0c28721bc6a
63649,-87,80,b2c28721bc6b
63651,-69,80,9897d19bbdf8
63662,-72,88,dc90884a7739
63662,-71,c8,dc90884a7739
63676,-93,80,4432c85e95c4
63750,-88,80,b0c28721bc6a
63752,-87,80,b2c28721bc6b
63754,-70,80,9897d19bbdf8
63778,-72,88,dc90884a7739
63782,-78,80,345760ecae40
63790,-79,80,d06f820dca00
63852,-86,80,b0c28721bc6a
63984,-90,80,4432c85e95c4
63998,-71,48,5c0339b443d2
63998,-72,88,dc90884a7739
64059,-88,80,b2c28721bc6b
64065,-70,80,9897d19bbdf8
64074,-69,88,60f81dcfd4b4
64075,-70,c8,60f81dcfd4b4
64097,-79,80,d06f820dca00
64098,-72,88,dc90884a7739
64114,-89,48,1801f13b9f03
64159,-88,80,b0c28721bc6a
64161,-69,80,9897d19bbdf8
66178,-93,80,a09d86167618
66263,-63,80,10c25a50cbd1
66631,-97,80,5a238c3436c6
66718,-93,80,7c8779019402
67634,-88,80,e894f6e6fc32
68202,-93,80,001dcf1c399b
68218,-92,88,84c9c690baa9
68225,-93,80,e067b32dc3b6
68236,-95,80,78719c4752b0
68248,-91,80,84c9c690baa9
68494,-89,88,e067b32dc3b6
68612,-95,80,001dcf1c399b
69068,-92,08,84c9c690baa9
69147,-93,80,e067b32dc3b6
69157,-95,80,78719c4752b0
71186,-79,80,d0bf9c5495bb
71253,-90,80,e067b357bdde
71335,-82,80,fcb4e6c5ee2a
73336,-83,80,bccab5d2c7d0
73421,-85,88,bccab5d2c7d0
74206,-92,48,58c5cbd26927
74238,-74,80,58238ce84753
74240,-75,80,5a238ce84754
74550,-75,50,58238ce84753
76181,-77,80,d06f820dca00
76243,-88,80,b0c28721bc6a
76245,-71,80,9897d19bbdf8
76247,-89,80,b2c28721bc6b
76418,-86,48,3cfa43a7f72d
76488,-72,c8,dc90884a7739
76491,-71,c8,60f81dcfd4b4
76550,-87,80,b0c28721bc6a
76554,-71,80,9897d19bbdf8
76555,-71,88,5c0339b443d2
76581,-80,80,345760ecae40
76590,-78,80,d06f820dca00
