tstm,aX,aY,aZ,meanX,meanY,meanZ,stdX,stdY,stdZ,meanDiffX,meanDiffY,meanDiffZ,stdDiffX,stdDiffY,stdDiffZ,HardAccel,HardBrake,LaneChanL,LaneChanR,ui8LaneHole
7113,1071,747,8340,-1039.600,729.843,7865.757,1556.835,812.948,865.215,383.286,347.142,18.716,195.292,-489.359,8.866,0,0,0,0,0
7213,-1385,1891,9276,-1044.600,774.971,7885.257,1557.374,788.092,881.248,-50.000,451.286,195.000,5.392,-248.557,160.334,0,0,0,0,0
7313,518,1831,7483,-1015.557,812.314,7880.872,1567.256,775.210,882.474,290.428,373.428,-43.857,98.820,-128.821,12.262,0,0,0,0,0
7413,2649,1344,5904,-960.643,844.843,7851.743,1626.241,748.609,913.064,549.142,325.286,-291.289,589.844,-266.013,305.898,0,0,1,0,0
7513,393,2048,8170,-935.400,885.629,7857.429,1633.327,735.154,913.789,252.429,407.858,56.860,70.863,-134.548,7.247,0,0,0,0,0
7613,1524,1715,7565,-897.957,917.214,7860.071,1659.033,722.503,912.671,374.429,315.857,26.426,257.063,-126.511,-11.177,0,0,0,0,0
7713,1485,781,7647,-860.643,934.257,7846.771,1682.668,704.801,908.888,373.143,170.428,-132.998,236.345,-177.015,-37.833,0,0,0,0,0
7813,-1331,2965,9298,-863.471,980.143,7876.872,1683.289,730.492,921.474,-28.286,458.857,301.001,6.216,256.907,125.861,0,0,0,0,0
7913,-2369,917,7831,-881.129,997.600,7865.872,1692.482,713.986,917.351,-176.572,174.571,-110.000,91.923,-165.056,-41.231,0,0,0,0,0
8013,3253,1077,8038,-818.714,1015.971,7866.186,1761.808,699.093,917.406,624.143,183.715,3.140,693.267,-148.936,0.551,0,0,0,0,0
8113,1398,1987,6575,-781.786,1049.743,7843.271,1780.692,687.997,929.261,369.286,337.714,-229.141,188.838,-110.952,118.557,0,0,0,0,0
8213,-2362,2030,9907,-797.157,1082.700,7870.771,1789.600,678.848,960.905,-153.715,329.572,275.000,89.082,-91.491,316.434,0,0,0,0,0
8313,-846,1860,6794,-793.029,1112.614,7857.514,1789.149,666.187,969.231,41.286,299.143,-132.573,-4.510,-126.619,83.267,0,0,0,0,0
8413,3045,1524,7123,-731.714,1140.229,7847.372,1845.206,642.171,973.142,613.143,276.143,-101.426,560.570,-240.153,39.106,0,0,0,0,0
8513,-1270,1176,9232,-734.214,1151.971,7866.171,1845.815,635.164,986.901,-25.000,117.429,187.998,6.091,-70.071,137.587,0,0,0,0,0
8613,-24,1649,6965,-724.057,1172.957,7855.900,1847.738,626.918,992.469,101.572,209.857,-102.715,19.230,-82.463,55.685,0,0,0,0,0
8713,1423,1323,6381,-687.714,1191.300,7834.586,1864.516,612.080,1007.776,363.428,183.429,-213.140,167.778,-148.379,153.069,0,0,0,0,0
8813,1337,672,8387,-640.229,1194.543,7839.514,1873.129,608.709,1009.620,474.857,32.428,49.282,86.130,-33.705,18.443,0,0,0,0,0
8913,-766,1464,6265,-632.671,1215.314,7819.586,1871.539,592.527,1026.592,75.571,207.715,-199.282,-15.906,-161.827,169.717,0,0,0,0,0
9013,58,1255,7784,-611.414,1235.571,7820.500,1870.812,568.824,1026.532,212.571,202.571,9.141,-7.264,-237.026,-0.604,0,0,0,0,0
9113,3738,2032,7694,-547.914,1258.200,7820.000,1940.625,568.550,1026.584,635.000,226.285,-5.000,698.124,-2.740,0.526,0,0,0,0,0
9213,-739,1513,7250,-533.557,1269.286,7811.486,1935.433,565.838,1028.803,143.572,110.858,-85.142,-51.913,-27.117,22.183,0,0,0,0,0
9313,97,1280,8848,-509.871,1274.814,7834.700,1932.858,564.023,1033.584,236.857,55.286,232.144,-25.753,-18.159,47.819,0,0,0,0,0
9413,-2462,1703,7478,-556.600,1301.314,7818.214,1939.935,539.403,1029.933,-467.285,265.000,-164.858,70.771,-246.196,-36.517,0,0,0,0,0
9513,54,2506,6265,-496.629,1329.914,7790.286,1892.413,549.353,1045.055,599.714,286.000,-279.287,-475.217,99.498,151.219,0,0,0,0,0
9613,4715,365,7349,-392.386,1316.314,7790.071,1973.893,561.161,1045.144,1042.429,-136.000,-2.144,814.791,118.085,0.889,0,0,0,0,0
9713,-2578,1428,9629,-421.843,1326.086,7815.186,1990.831,557.051,1067.666,-294.572,97.714,251.143,169.384,-41.106,225.221,0,0,0,0,0
9813,1878,1714,9106,-383.900,1346.843,7824.700,2008.910,543.892,1076.125,379.429,207.572,95.146,180.786,-131.588,84.596,0,0,0,0,0
9913,-3199,1854,7574,-408.214,1358.343,7831.929,2032.397,545.979,1072.712,-243.143,115.000,72.285,234.875,20.873,-34.132,0,0,0,0,0
10013,1504,2055,7557,-361.714,1364.200,7832.800,2038.370,551.197,1072.464,465.000,58.571,8.711,59.731,52.181,-2.485,0,0,0,0,0
10113,-1706,2412,7319,-361.486,1381.100,7825.057,2038.219,564.762,1074.187,2.286,169.000,-77.427,-1.517,135.643,17.238,0,0,0,0,0
10213,1030,957,9173,-326.243,1381.300,7849.443,2040.644,564.609,1085.080,352.429,2.001,243.857,24.258,-1.526,108.925,0,0,0,0,0
10313,-1386,1755,6970,-318.129,1391.014,7843.329,2035.278,565.105,1088.806,81.143,97.142,-61.143,-53.663,4.960,37.261,0,0,0,0,0
10413,3334,1667,4748,-253.971,1397.043,7798.586,2078.156,565.766,1149.065,641.571,60.286,-447.427,428.776,6.607,602.588,0,0,0,0,0
10513,1745,1161,6685,-200.100,1395.800,7777.771,2080.397,566.187,1155.832,538.714,-12.428,-208.145,22.419,4.214,67.672,0,0,0,0,0
10613,-3450,1760,7735,-219.686,1405.429,7778.529,2104.310,566.568,1155.786,-195.857,96.285,7.573,239.126,3.805,-0.459,0,0,0,0,0
10713,-998,1372,9363,-187.114,1402.943,7757.557,2074.149,566.327,1112.726,325.714,-24.857,-209.717,-301.606,-2.405,-430.603,0,0,0,0,0
10813,2778,1562,6202,-110.814,1396.829,7761.543,2083.562,562.252,1106.630,763.000,-61.143,39.858,94.131,-40.753,-60.955,0,0,0,0,0
10913,3352,-89,8648,-43.343,1389.700,7765.957,2117.851,577.670,1109.537,674.714,-71.287,44.141,342.888,154.183,29.070,0,0,0,0,0
11013,-2209,1839,9260,-20.871,1401.800,7787.657,2086.171,578.084,1123.602,224.714,121.001,217.002,-316.799,4.135,140.647,0,0,0,0,0
11113,-674,1794,10264,-22.857,1416.229,7810.100,2086.726,575.080,1156.664,-19.857,144.285,224.429,5.547,-30.033,330.625,0,0,0,0,0
11213,-1144,467,9717,-22.971,1414.000,7813.443,2086.787,578.442,1161.821,-1.143,-22.285,33.428,0.613,33.620,51.566,0,0,0,0,0
11313,1537,393,7527,42.543,1409.029,7806.643,2062.605,585.656,1162.084,655.143,-49.714,-67.998,-241.819,72.133,2.635,0,0,0,0,0
11413,699,3575,11520,62.671,1448.200,7864.186,2062.038,635.404,1242.055,201.286,391.714,575.425,-5.671,497.485,799.707,0,0,0,0,0
11513,-2825,3200,9055,43.043,1485.029,7882.914,2082.789,660.659,1249.961,-196.286,368.286,187.285,207.502,252.551,79.055,0,0,0,0,0
11613,-1087,1846,6136,53.586,1500.143,7851.300,2075.160,656.630,1265.660,105.429,151.143,-316.143,-76.287,-40.293,156.990,0,0,0,0,0
11713,1578,788,7696,97.243,1491.029,7862.872,2074.625,662.002,1260.474,436.571,-91.143,115.718,-5.349,53.718,-51.862,0,0,0,0,0
11813,-1383,1835,6729,163.171,1489.086,7826.414,1949.431,660.789,1255.827,659.286,-19.429,-364.575,-1251.936,-12.130,-46.467,0,0,0,0,0
11913,423,500,9633,197.629,1481.086,7872.714,1932.328,669.271,1261.820,344.571,-80.000,463.003,-171.036,84.819,59.930,0,0,0,0,0
12013,-2389,3113,6769,167.771,1488.543,7857.343,1955.775,684.335,1268.599,-298.571,74.572,-153.716,234.475,150.638,67.795,0,0,0,0,0
12113,2125,841,8290,189.143,1474.571,7875.957,1968.828,687.422,1265.247,213.714,-139.714,186.143,130.529,30.873,-33.521,0,0,0,0,0
12213,-2008,1458,8451,196.571,1485.329,7867.529,1959.521,681.158,1259.410,74.286,107.572,-84.282,-93.069,-62.637,-58.374,0,0,0,0,0
12313,-559,367,8350,183.943,1479.814,7880.486,1961.501,688.586,1259.641,-126.286,-55.143,129.570,19.794,74.280,2.313,0,0,0,0,0
12413,-791,2282,8478,156.114,1487.343,7884.957,1961.316,694.410,1261.198,-278.286,75.286,44.712,-1.842,58.239,15.568,0,0,0,0,0
12513,1960,1402,7146,177.671,1491.343,7866.257,1972.699,693.099,1262.311,215.571,40.000,-186.997,113.828,-13.107,11.130,0,0,0,0,0
12613,-1345,537,9059,151.700,1479.386,7867.872,1980.591,702.181,1263.762,-259.714,-119.572,16.143,78.921,90.815,14.510,0,0,0,0,0
12713,663,1525,7909,198.229,1475.329,7881.557,1953.615,701.084,1258.937,465.286,-40.571,136.855,-269.758,-10.966,-48.252,0,0,0,0,0
12813,-351,1764,7163,179.557,1493.786,7836.271,1952.530,691.367,1226.538,-186.714,184.572,-452.856,-10.859,-97.175,-323.984,0,0,0,0,0
12913,-2080,1343,6263,153.971,1494.029,7800.686,1970.157,691.311,1235.499,-255.857,2.428,-355.859,176.273,-0.560,89.609,0,0,0,0,0
13013,2077,1433,6472,206.786,1487.071,7818.843,1971.446,689.437,1206.151,528.143,-69.572,181.572,12.894,-18.739,-293.481,0,0,0,0,0
13113,-815,367,9989,168.771,1475.143,7867.729,1965.117,701.386,1223.643,-380.143,-119.286,488.857,-63.293,119.492,174.922,0,0,0,0,0
13213,364,2243,8207,127.357,1501.271,7856.900,1929.699,695.411,1217.222,-414.143,261.287,-108.286,-354.177,-59.751,-64.211,0,0,0,0,0
13313,193,1184,7851,165.986,1505.029,7847.743,1903.383,692.972,1214.819,386.286,37.571,-91.572,-263.160,-24.390,-24.034,0,0,0,0,0
